id,country,ticker,date,price_usd
1,opec_basket,price,01/01/2016,32.0452380952381
2,opec_basket,price,02/01/2016,33.76238095238095
3,opec_basket,price,03/01/2016,33.76238095238095
4,opec_basket,price,04/01/2016,33.76238095238095
5,opec_basket,price,05/01/2016,33.76238095238095
6,opec_basket,price,06/01/2016,33.76238095238095
7,opec_basket,price,07/01/2016,33.76238095238095
8,opec_basket,price,08/01/2016,33.76238095238095
9,opec_basket,price,09/01/2016,33.76238095238095
10,opec_basket,price,10/01/2016,33.76238095238095
11,opec_basket,price,11/01/2016,33.76238095238095
12,opec_basket,price,12/01/2016,33.76238095238095
13,opec_basket,price,13/01/2016,33.76238095238095
14,opec_basket,price,14/01/2016,33.76238095238095
15,opec_basket,price,15/01/2016,33.76238095238095
16,opec_basket,price,16/01/2016,33.76238095238095
17,opec_basket,price,17/01/2016,33.76238095238095
18,opec_basket,price,18/01/2016,33.76238095238095
19,opec_basket,price,19/01/2016,33.76238095238095
20,opec_basket,price,20/01/2016,33.76238095238095
21,opec_basket,price,21/01/2016,33.76238095238095
22,opec_basket,price,22/01/2016,33.76238095238095
23,opec_basket,price,23/01/2016,33.76238095238095
24,opec_basket,price,24/01/2016,33.76238095238095
25,opec_basket,price,25/01/2016,33.76238095238095
26,opec_basket,price,26/01/2016,33.76238095238095
27,opec_basket,price,27/01/2016,33.76238095238095
28,opec_basket,price,28/01/2016,33.76238095238095
29,opec_basket,price,29/01/2016,33.76238095238095
30,opec_basket,price,30/01/2016,33.76238095238095
31,opec_basket,price,31/01/2016,33.76238095238095
32,opec_basket,price,01/02/2016,33.76238095238095
33,opec_basket,price,02/02/2016,39.79217391304348
34,opec_basket,price,03/02/2016,39.79217391304348
35,opec_basket,price,04/02/2016,39.79217391304348
36,opec_basket,price,05/02/2016,39.79217391304348
37,opec_basket,price,06/02/2016,39.79217391304348
38,opec_basket,price,07/02/2016,39.79217391304348
39,opec_basket,price,08/02/2016,39.79217391304348
40,opec_basket,price,09/02/2016,39.79217391304348
41,opec_basket,price,10/02/2016,39.79217391304348
42,opec_basket,price,11/02/2016,39.79217391304348
43,opec_basket,price,12/02/2016,39.79217391304348
44,opec_basket,price,13/02/2016,39.79217391304348
45,opec_basket,price,14/02/2016,39.79217391304348
46,opec_basket,price,15/02/2016,39.79217391304348
47,opec_basket,price,16/02/2016,39.79217391304348
48,opec_basket,price,17/02/2016,39.79217391304348
49,opec_basket,price,18/02/2016,39.79217391304348
50,opec_basket,price,19/02/2016,39.79217391304348
51,opec_basket,price,20/02/2016,39.79217391304348
52,opec_basket,price,21/02/2016,39.79217391304348
53,opec_basket,price,22/02/2016,39.79217391304348
54,opec_basket,price,23/02/2016,39.79217391304348
55,opec_basket,price,24/02/2016,39.79217391304348
56,opec_basket,price,25/02/2016,39.79217391304348
57,opec_basket,price,26/02/2016,39.79217391304348
58,opec_basket,price,27/02/2016,39.79217391304348
59,opec_basket,price,28/02/2016,39.79217391304348
60,opec_basket,price,29/02/2016,39.79217391304348
61,opec_basket,price,01/03/2016,39.79217391304348
62,opec_basket,price,02/03/2016,43.33047619047619
63,opec_basket,price,03/03/2016,43.33047619047619
64,opec_basket,price,04/03/2016,43.33047619047619
65,opec_basket,price,05/03/2016,43.33047619047619
66,opec_basket,price,06/03/2016,43.33047619047619
67,opec_basket,price,07/03/2016,43.33047619047619
68,opec_basket,price,08/03/2016,43.33047619047619
69,opec_basket,price,09/03/2016,43.33047619047619
70,opec_basket,price,10/03/2016,43.33047619047619
71,opec_basket,price,11/03/2016,43.33047619047619
72,opec_basket,price,12/03/2016,43.33047619047619
73,opec_basket,price,13/03/2016,43.33047619047619
74,opec_basket,price,14/03/2016,43.33047619047619
75,opec_basket,price,15/03/2016,43.33047619047619
76,opec_basket,price,16/03/2016,43.33047619047619
77,opec_basket,price,17/03/2016,43.33047619047619
78,opec_basket,price,18/03/2016,43.33047619047619
79,opec_basket,price,19/03/2016,43.33047619047619
80,opec_basket,price,20/03/2016,43.33047619047619
81,opec_basket,price,21/03/2016,43.33047619047619
82,opec_basket,price,22/03/2016,43.33047619047619
83,opec_basket,price,23/03/2016,43.33047619047619
84,opec_basket,price,24/03/2016,43.33047619047619
85,opec_basket,price,25/03/2016,43.33047619047619
86,opec_basket,price,26/03/2016,43.33047619047619
87,opec_basket,price,27/03/2016,43.33047619047619
88,opec_basket,price,28/03/2016,43.33047619047619
89,opec_basket,price,29/03/2016,43.33047619047619
90,opec_basket,price,30/03/2016,43.33047619047619
91,opec_basket,price,31/03/2016,43.33047619047619
92,opec_basket,price,01/04/2016,43.33047619047619
93,opec_basket,price,02/04/2016,47.735
94,opec_basket,price,03/04/2016,47.735
95,opec_basket,price,04/04/2016,47.735
96,opec_basket,price,05/04/2016,47.735
97,opec_basket,price,06/04/2016,47.735
98,opec_basket,price,07/04/2016,47.735
99,opec_basket,price,08/04/2016,47.735
100,opec_basket,price,09/04/2016,47.735
101,opec_basket,price,10/04/2016,47.735
102,opec_basket,price,11/04/2016,47.735
103,opec_basket,price,12/04/2016,47.735
104,opec_basket,price,13/04/2016,47.735
