Date,VIX
1/4/2016,20.700000762939453
1/5/2016,19.34000015258789
1/6/2016,20.59000015258789
1/7/2016,24.989999771118164
1/8/2016,27.010000228881836
1/11/2016,24.299999237060547
1/12/2016,22.469999313354492
1/13/2016,25.219999313354492
1/14/2016,23.950000762939453
1/15/2016,27.020000457763672
1/19/2016,26.049999237060547
1/20/2016,27.59000015258789
1/21/2016,26.690000534057617
1/22/2016,22.34000015258789
1/25/2016,24.149999618530273
1/26/2016,22.5
1/27/2016,23.110000610351562
1/28/2016,22.420000076293945
1/29/2016,20.200000762939453
2/1/2016,19.979999542236328
2/2/2016,21.979999542236328
2/3/2016,21.649999618530273
2/4/2016,21.84000015258789
2/5/2016,23.37999916
2/8/2016,26
2/9/2016,26.540000915527344
2/10/2016,26.290000915527344
2/11/2016,28.139999389648438
2/12/2016,25.399999618530273
2/16/2016,24.110000610351562
2/17/2016,22.309999465942383
2/18/2016,21.639999389648438
2/19/2016,20.530000686645508
2/22/2016,19.37999916
2/23/2016,20.979999542236328
2/24/2016,20.719999313354492
2/25/2016,19.110000610351562
2/26/2016,19.809999465942383
2/29/2016,20.549999237060547
3/1/2016,17.700000762939453
3/2/2016,17.09000015258789
3/3/2016,16.700000762939453
3/4/2016,16.860000610351562
3/7/2016,17.350000381469727
3/8/2016,18.670000076293945
3/9/2016,18.34000015258789
3/10/2016,18.049999237060547
3/11/2016,16.5
3/14/2016,16.920000076293945
3/15/2016,16.84000015258789
3/16/2016,14.989999771118164
3/17/2016,14.43999958
3/18/2016,14.020000457763672
3/21/2016,13.789999961853027
3/22/2016,14.170000076293945
3/23/2016,14.93999958
3/24/2016,14.739999771118164
3/28/2016,15.239999771118164
3/29/2016,13.819999694824219
3/30/2016,13.56000042
3/31/2016,13.949999809265137
4/1/2016,13.100000381469727
4/4/2016,14.119999885559082
4/5/2016,15.420000076293945
4/6/2016,14.09000015258789
4/7/2016,16.15999984741211
4/8/2016,15.359999656677246
4/11/2016,16.260000228881836
4/12/2016,14.850000381469727
4/13/2016,13.84000015258789
4/14/2016,13.720000267028809
4/15/2016,13.619999885559082
4/18/2016,13.350000381469727
4/19/2016,13.239999771118164
4/20/2016,13.279999732971191
4/21/2016,13.949999809265137
4/22/2016,13.220000267028809
4/25/2016,14.079999923706055
4/26/2016,13.960000038146973
4/27/2016,13.770000457763672
4/28/2016,15.220000267028809
4/29/2016,15.699999809265137
