id,country,ticker,date,value
1,egypt,usdegp,03/01/2016,7.7301
2,egypt,usdegp,04/01/2016,7.7301
3,egypt,usdegp,05/01/2016,7.7301
4,egypt,usdegp,06/01/2016,7.7301
5,egypt,usdegp,10/01/2016,7.7301
6,egypt,usdegp,11/01/2016,7.7301
7,egypt,usdegp,12/01/2016,7.7301
8,egypt,usdegp,13/01/2016,7.7301
9,egypt,usdegp,14/01/2016,7.7301
10,egypt,usdegp,17/01/2016,7.7301
11,egypt,usdegp,18/01/2016,7.7301
12,egypt,usdegp,19/01/2016,7.7301
13,egypt,usdegp,20/01/2016,7.7301
14,egypt,usdegp,21/01/2016,7.7301
15,egypt,usdegp,24/01/2016,7.7301
16,egypt,usdegp,26/01/2016,7.7301
17,egypt,usdegp,27/01/2016,7.7301
18,egypt,usdegp,28/01/2016,7.7301
19,egypt,usdegp,31/01/2016,7.7301
20,egypt,usdegp,01/02/2016,7.7301
21,egypt,usdegp,02/02/2016,7.7301
22,egypt,usdegp,03/02/2016,7.7301
23,egypt,usdegp,04/02/2016,7.7301
24,egypt,usdegp,07/02/2016,7.7301
25,egypt,usdegp,08/02/2016,7.7301
26,egypt,usdegp,09/02/2016,7.7301
27,egypt,usdegp,10/02/2016,7.7301
28,egypt,usdegp,11/02/2016,7.7301
29,egypt,usdegp,14/02/2016,7.7301
30,egypt,usdegp,15/02/2016,7.7301
31,egypt,usdegp,16/02/2016,7.7301
32,egypt,usdegp,17/02/2016,7.7301
33,egypt,usdegp,18/02/2016,7.7301
34,egypt,usdegp,21/02/2016,7.7301
35,egypt,usdegp,22/02/2016,7.7301
36,egypt,usdegp,23/02/2016,7.7301
37,egypt,usdegp,24/02/2016,7.7301
38,egypt,usdegp,25/02/2016,7.7301
39,egypt,usdegp,28/02/2016,7.7301
40,egypt,usdegp,29/02/2016,7.7301
41,egypt,usdegp,01/03/2016,7.7301
42,egypt,usdegp,02/03/2016,7.7301
43,egypt,usdegp,03/03/2016,7.7301
44,egypt,usdegp,06/03/2016,7.7301
45,egypt,usdegp,07/03/2016,7.7301
46,egypt,usdegp,08/03/2016,7.7301
47,egypt,usdegp,09/03/2016,7.7301
48,egypt,usdegp,10/03/2016,7.7301
49,egypt,usdegp,13/03/2016,7.7301
50,egypt,usdegp,14/03/2016,8.85
51,egypt,usdegp,15/03/2016,8.85
52,egypt,usdegp,16/03/2016,8.78
53,egypt,usdegp,17/03/2016,8.78
54,egypt,usdegp,20/03/2016,8.78
55,egypt,usdegp,21/03/2016,8.78
56,egypt,usdegp,22/03/2016,8.78
57,egypt,usdegp,23/03/2016,8.78
58,egypt,usdegp,24/03/2016,8.78
59,egypt,usdegp,27/03/2016,8.78
60,egypt,usdegp,28/03/2016,8.78
61,egypt,usdegp,29/03/2016,8.78
62,egypt,usdegp,30/03/2016,8.78
63,egypt,usdegp,31/03/2016,8.78
64,egypt,usdegp,03/04/2016,8.78
65,egypt,usdegp,04/04/2016,8.78
66,egypt,usdegp,05/04/2016,8.78
67,egypt,usdegp,06/04/2016,8.78
68,egypt,usdegp,07/04/2016,8.78
69,egypt,usdegp,10/04/2016,8.78
70,egypt,usdegp,11/04/2016,8.78
71,egypt,usdegp,12/04/2016,8.78
72,egypt,usdegp,13/04/2016,8.78
73,egypt,usdegp,14/04/2016,8.78
74,egypt,usdegp,17/04/2016,8.78
75,egypt,usdegp,21/04/2016,8.78
76,egypt,usdegp,22/04/2016,8.78
77,egypt,usdegp,23/04/2016,8.78
78,egypt,usdegp,24/04/2016,8.78
79,egypt,usdegp,26/04/2016,8.78
80,egypt,usdegp,27/04/2016,8.78
81,egypt,usdegp,28/04/2016,8.78
82,egypt,usdegp,03/05/2016,8.78
83,egypt,usdegp,04/05/2016,8.78
84,egypt,usdegp,05/05/2016,8.78
85,egypt,usdegp,08/05/2016,8.78
86,egypt,usdegp,09/05/2016,8.78
87,egypt,usdegp,10/05/2016,8.78
88,egypt,usdegp,11/05/2016,8.78
89,egypt,usdegp,12/05/2016,8.78
90,egypt,usdegp,15/05/2016,8.78
91,egypt,usdegp,16/05/2016,8.78
92,egypt,usdegp,17/05/2016,8.78
93,egypt,usdegp,18/05/2016,8.78
94,egypt,usdegp,19/05/2016,8.78
95,egypt,usdegp,22/05/2016,8.78
96,egypt,usdegp,23/05/2016,8.78
97,egypt,usdegp,24/05/2016,8.78
98,egypt,usdegp,25/05/2016,8.78
99,egypt,usdegp,26/05/2016,8.78
100,egypt,usdegp,29/05/2016,8.78
101,egypt,usdegp,30/05/2016,8.78
102,egypt,usdegp,31/05/2016,8.78
103,egypt,usdegp,01/06/2016,8.78
104,egypt,usdegp,02/06/2016,8.78
105,egypt,usdegp,05/06/2016,8.78
106,egypt,usdegp,06/06/2016,8.78
107,egypt,usdegp,07/06/2016,8.78
108,egypt,usdegp,08/06/2016,8.78
109,egypt,usdegp,09/06/2016,8.78
110,egypt,usdegp,12/06/2016,8.78
111,egypt,usdegp,13/06/2016,8.78
112,egypt,usdegp,14/06/2016,8.78
113,egypt,usdegp,15/06/2016,8.78
114,egypt,usdegp,16/06/2016,8.78
115,egypt,usdegp,19/06/2016,8.78
116,egypt,usdegp,20/06/2016,8.78
117,egypt,usdegp,21/06/2016,8.78
118,egypt,usdegp,22/06/2016,8.78
119,egypt,usdegp,23/06/2016,8.78
120,egypt,usdegp,26/06/2016,8.78
121,egypt,usdegp,27/06/2016,8.78
122,egypt,usdegp,28/06/2016,8.78
123,egypt,usdegp,29/06/2016,8.78
124,egypt,usdegp,03/07/2016,8.78
125,egypt,usdegp,04/07/2016,8.78
126,egypt,usdegp,10/07/2016,8.78
127,egypt,usdegp,11/07/2016,8.78
128,egypt,usdegp,12/07/2016,8.78
129,egypt,usdegp,13/07/2016,8.78
130,egypt,usdegp,14/07/2016,8.78
131,egypt,usdegp,17/07/2016,8.78
132,egypt,usdegp,18/07/2016,8.78
133,egypt,usdegp,19/07/2016,8.78
134,egypt,usdegp,20/07/2016,8.78
135,egypt,usdegp,21/07/2016,8.78
136,egypt,usdegp,24/07/2016,8.78
137,egypt,usdegp,25/07/2016,8.78
138,egypt,usdegp,26/07/2016,8.78
139,egypt,usdegp,27/07/2016,8.78
140,egypt,usdegp,28/07/2016,8.78
141,egypt,usdegp,31/07/2016,8.78
142,egypt,usdegp,01/08/2016,8.78
143,egypt,usdegp,02/08/2016,8.78
144,egypt,usdegp,03/08/2016,8.78
145,egypt,usdegp,04/08/2016,8.78
146,egypt,usdegp,07/08/2016,8.78
147,egypt,usdegp,08/08/2016,8.78
148,egypt,usdegp,09/08/2016,8.78
149,egypt,usdegp,10/08/2016,8.78
150,egypt,usdegp,11/08/2016,8.78
151,egypt,usdegp,14/08/2016,8.78
152,egypt,usdegp,15/08/2016,8.78
153,egypt,usdegp,16/08/2016,8.78
154,egypt,usdegp,17/08/2016,8.78
155,egypt,usdegp,18/08/2016,8.78
156,egypt,usdegp,21/08/2016,8.78
157,egypt,usdegp,25/08/2016,8.78
158,egypt,usdegp,28/08/2016,8.78
159,egypt,usdegp,29/08/2016,8.78
160,egypt,usdegp,30/08/2016,8.78
161,egypt,usdegp,31/08/2016,8.78
162,egypt,usdegp,01/09/2016,8.78
163,egypt,usdegp,04/09/2016,8.78
164,egypt,usdegp,05/09/2016,8.78
165,egypt,usdegp,06/09/2016,8.78
166,egypt,usdegp,07/09/2016,8.78
167,egypt,usdegp,08/09/2016,8.78
168,egypt,usdegp,14/09/2016,8.78
169,egypt,usdegp,15/09/2016,8.78
170,egypt,usdegp,18/09/2016,8.78
171,egypt,usdegp,19/09/2016,8.78
172,egypt,usdegp,20/09/2016,8.78
173,egypt,usdegp,21/09/2016,8.78
174,egypt,usdegp,22/09/2016,8.78
175,egypt,usdegp,25/09/2016,8.78
176,egypt,usdegp,26/09/2016,8.78
177,egypt,usdegp,27/09/2016,8.78
178,egypt,usdegp,28/09/2016,8.78
179,egypt,usdegp,29/09/2016,8.78
180,egypt,usdegp,03/10/2016,8.78
181,egypt,usdegp,04/10/2016,8.78
182,egypt,usdegp,05/10/2016,8.78
183,egypt,usdegp,09/10/2016,8.78
184,egypt,usdegp,10/10/2016,8.78
185,egypt,usdegp,11/10/2016,8.78
186,egypt,usdegp,12/10/2016,8.78
187,egypt,usdegp,13/10/2016,8.78
188,egypt,usdegp,16/10/2016,8.78
189,egypt,usdegp,17/10/2016,8.78
