date,fuel_exports
2016-01-01,13.7657934284608
2016-01-02,19.3528393471568
2016-01-03,19.3528393471568
2016-01-04,19.3528393471568
2016-01-05,19.3528393471568
2016-01-06,19.3528393471568
2016-01-07,19.3528393471568
2016-01-08,19.3528393471568
2016-01-09,19.3528393471568
2016-01-10,19.3528393471568
2016-01-11,19.3528393471568
2016-01-12,19.3528393471568
2016-01-13,19.3528393471568
2016-01-14,19.3528393471568
2016-01-15,19.3528393471568
2016-01-16,19.3528393471568
2016-01-17,19.3528393471568
2016-01-18,19.3528393471568
2016-01-19,19.3528393471568
2016-01-20,19.3528393471568
2016-01-21,19.3528393471568
2016-01-22,19.3528393471568
2016-01-23,19.3528393471568
2016-01-24,19.3528393471568
2016-01-25,19.3528393471568
2016-01-26,19.3528393471568
2016-01-27,19.3528393471568
2016-01-28,19.3528393471568
2016-01-29,19.3528393471568
2016-01-30,19.3528393471568
2016-01-31,19.3528393471568
2016-02-01,19.3528393471568
2016-02-02,19.3528393471568
2016-02-03,19.3528393471568
2016-02-04,19.3528393471568
2016-02-05,19.3528393471568
2016-02-06,19.3528393471568
2016-02-07,19.3528393471568
2016-02-08,19.3528393471568
2016-02-09,19.3528393471568
2016-02-10,19.3528393471568
2016-02-11,19.3528393471568
2016-02-12,19.3528393471568
2016-02-13,19.3528393471568
2016-02-14,19.3528393471568
2016-02-15,19.3528393471568
2016-02-16,19.3528393471568
2016-02-17,19.3528393471568
2016-02-18,19.3528393471568
2016-02-19,19.3528393471568
2016-02-20,19.3528393471568
2016-02-21,19.3528393471568
2016-02-22,19.3528393471568
2016-02-23,19.3528393471568
2016-02-24,19.3528393471568
2016-02-25,19.3528393471568
2016-02-26,19.3528393471568
2016-02-27,19.3528393471568
2016-02-28,19.3528393471568
2016-02-29,19.3528393471568
2016-03-01,19.3528393471568
2016-03-02,19.3528393471568
2016-03-03,19.3528393471568
2016-03-04,19.3528393471568
2016-03-05,19.3528393471568
2016-03-06,19.3528393471568
2016-03-07,19.3528393471568
2016-03-08,19.3528393471568
2016-03-09,19.3528393471568
2016-03-10,19.3528393471568
2016-03-11,19.3528393471568
2016-03-12,19.3528393471568
2016-03-13,19.3528393471568
2016-03-14,19.3528393471568
2016-03-15,19.3528393471568
2016-03-16,19.3528393471568
2016-03-17,19.3528393471568
2016-03-18,19.3528393471568
2016-03-19,19.3528393471568
2016-03-20,19.3528393471568
2016-03-21,19.3528393471568
2016-03-22,19.3528393471568
2016-03-23,19.3528393471568
2016-03-24,19.3528393471568
2016-03-25,19.3528393471568
2016-03-26,19.3528393471568
2016-03-27,19.3528393471568
2016-03-28,19.3528393471568
2016-03-29,19.3528393471568
2016-03-30,19.3528393471568
2016-03-31,19.3528393471568
2016-04-01,19.3528393471568
2016-04-02,19.3528393471568
2016-04-03,19.3528393471568
2016-04-04,19.3528393471568
2016-04-05,19.3528393471568
2016-04-06,19.3528393471568
2016-04-07,19.3528393471568
2016-04-08,19.3528393471568
2016-04-09,19.3528393471568
2016-04-10,19.3528393471568
2016-04-11,19.3528393471568
2016-04-12,19.3528393471568
2016-04-13,19.3528393471568
2016-04-14,19.3528393471568
2016-04-15,19.3528393471568
2016-04-16,19.3528393471568
2016-04-17,19.3528393471568
2016-04-18,19.3528393471568
2016-04-19,19.3528393471568
2016-04-20,19.3528393471568
2016-04-21,19.3528393471568
2016-04-22,19.3528393471568
2016-04-23,19.3528393471568
2016-04-24,19.3528393471568
2016-04-25,19.3528393471568
2016-04-26,19.3528393471568
2016-04-27,19.3528393471568
2016-04-28,19.3528393471568
2016-04-29,19.3528393471568
2016-04-30,19.3528393471568
2016-05-01,19.3528393471568
2016-05-02,19.3528393471568
2016-05-03,19.3528393471568
2016-05-04,19.3528393471568
2016-05-05,19.3528393471568
2016-05-06,19.3528393471568
2016-05-07,19.3528393471568
2016-05-08,19.3528393471568
2016-05-09,19.3528393471568
2016-05-10,19.3528393471568
2016-05-11,19.3528393471568
2016-05-12,19.3528393471568
2016-05-13,19.3528393471568
2016-05-14,19.3528393471568
2016-05-15,19.3528393471568
2016-05-16,19.3528393471568
2016-05-17,19.3528393471568
2016-05-18,19.3528393471568
2016-05-19,19.3528393471568
2016-05-20,19.3528393471568
2016-05-21,19.3528393471568
2016-05-22,19.3528393471568
2016-05-23,19.3528393471568
2016-05-24,19.3528393471568
2016-05-25,19.3528393471568
2016-05-26,19.3528393471568
2016-05-27,19.3528393471568
2016-05-28,19.3528393471568
2016-05-29,19.3528393471568
2016-05-30,19.3528393471568
2016-05-31,19.3528393471568
2016-06-01,19.3528393471568
2016-06-02,19.3528393471568
2016-06-03,19.3528393471568
2016-06-04,19.3528393471568
2016-06-05,19.3528393471568
2016-06-06,19.3528393471568
2016-06-07,19.3528393471568
2016-06-08,19.3528393471568
2016-06-09,19.3528393471568
2016-06-10,19.3528393471568
2016-06-11,19.3528393471568
2016-06-12,19.3528393471568
2016-06-13,19.3528393471568
2016-06-14,19.3528393471568
2016-06-15,19.3528393471568
2016-06-16,19.3528393471568
2016-06-17,19.3528393471568
2016-06-18,19.3528393471568
2016-06-19,19.3528393471568
2016-06-20,19.3528393471568
2016-06-21,19.3528393471568
2016-06-22,19.3528393471568
2016-06-23,19.3528393471568
2016-06-24,19.3528393471568
2016-06-25,19.3528393471568
2016-06-26,19.3528393471568
2016-06-27,19.3528393471568
2016-06-28,19.3528393471568
2016-06-29,19.3528393471568
2016-06-30,19.3528393471568
2016-07-01,19.3528393471568
2016-07-02,19.3528393471568
2016-07-03,19.3528393471568
2016-07-04,19.3528393471568
2016-07-05,19.3528393471568
2016-07-06,19.3528393471568
2016-07-07,19.3528393471568
2016-07-08,19.3528393471568
2016-07-09,19.3528393471568
2016-07-10,19.3528393471568
