date,energy_use
2016-01-01,872.581407763809
2016-01-02,897.218073562482
2016-01-03,897.218073562482
2016-01-04,897.218073562482
2016-01-05,897.218073562482
2016-01-06,897.218073562482
2016-01-07,897.218073562482
2016-01-08,897.218073562482
2016-01-09,897.218073562482
2016-01-10,897.218073562482
2016-01-11,897.218073562482
2016-01-12,897.218073562482
2016-01-13,897.218073562482
2016-01-14,897.218073562482
2016-01-15,897.218073562482
2016-01-16,897.218073562482
2016-01-17,897.218073562482
2016-01-18,897.218073562482
2016-01-19,897.218073562482
2016-01-20,897.218073562482
2016-01-21,897.218073562482
2016-01-22,897.218073562482
2016-01-23,897.218073562482
2016-01-24,897.218073562482
2016-01-25,897.218073562482
2016-01-26,897.218073562482
2016-01-27,897.218073562482
2016-01-28,897.218073562482
2016-01-29,897.218073562482
2016-01-30,897.218073562482
2016-01-31,897.218073562482
2016-02-01,897.218073562482
2016-02-02,897.218073562482
2016-02-03,897.218073562482
2016-02-04,897.218073562482
2016-02-05,897.218073562482
2016-02-06,897.218073562482
2016-02-07,897.218073562482
2016-02-08,897.218073562482
2016-02-09,897.218073562482
2016-02-10,897.218073562482
2016-02-11,897.218073562482
2016-02-12,897.218073562482
2016-02-13,897.218073562482
2016-02-14,897.218073562482
2016-02-15,897.218073562482
2016-02-16,897.218073562482
2016-02-17,897.218073562482
2016-02-18,897.218073562482
2016-02-19,897.218073562482
2016-02-20,897.218073562482
2016-02-21,897.218073562482
2016-02-22,897.218073562482
2016-02-23,897.218073562482
2016-02-24,897.218073562482
2016-02-25,897.218073562482
2016-02-26,897.218073562482
2016-02-27,897.218073562482
2016-02-28,897.218073562482
2016-02-29,897.218073562482
2016-03-01,897.218073562482
2016-03-02,897.218073562482
2016-03-03,897.218073562482
2016-03-04,897.218073562482
2016-03-05,897.218073562482
2016-03-06,897.218073562482
2016-03-07,897.218073562482
2016-03-08,897.218073562482
2016-03-09,897.218073562482
2016-03-10,897.218073562482
2016-03-11,897.218073562482
2016-03-12,897.218073562482
2016-03-13,897.218073562482
2016-03-14,897.218073562482
2016-03-15,897.218073562482
2016-03-16,897.218073562482
2016-03-17,897.218073562482
2016-03-18,897.218073562482
2016-03-19,897.218073562482
2016-03-20,897.218073562482
2016-03-21,897.218073562482
2016-03-22,897.218073562482
2016-03-23,897.218073562482
2016-03-24,897.218073562482
2016-03-25,897.218073562482
2016-03-26,897.218073562482
2016-03-27,897.218073562482
2016-03-28,897.218073562482
2016-03-29,897.218073562482
2016-03-30,897.218073562482
2016-03-31,897.218073562482
2016-04-01,897.218073562482
2016-04-02,897.218073562482
2016-04-03,897.218073562482
2016-04-04,897.218073562482
2016-04-05,897.218073562482
2016-04-06,897.218073562482
2016-04-07,897.218073562482
2016-04-08,897.218073562482
2016-04-09,897.218073562482
2016-04-10,897.218073562482
2016-04-11,897.218073562482
2016-04-12,897.218073562482
2016-04-13,897.218073562482
2016-04-14,897.218073562482
2016-04-15,897.218073562482
2016-04-16,897.218073562482
2016-04-17,897.218073562482
2016-04-18,897.218073562482
2016-04-19,897.218073562482
2016-04-20,897.218073562482
2016-04-21,897.218073562482
2016-04-22,897.218073562482
2016-04-23,897.218073562482
2016-04-24,897.218073562482
2016-04-25,897.218073562482
2016-04-26,897.218073562482
2016-04-27,897.218073562482
2016-04-28,897.218073562482
2016-04-29,897.218073562482
2016-04-30,897.218073562482
2016-05-01,897.218073562482
2016-05-02,897.218073562482
2016-05-03,897.218073562482
2016-05-04,897.218073562482
2016-05-05,897.218073562482
2016-05-06,897.218073562482
2016-05-07,897.218073562482
2016-05-08,897.218073562482
2016-05-09,897.218073562482
2016-05-10,897.218073562482
2016-05-11,897.218073562482
2016-05-12,897.218073562482
2016-05-13,897.218073562482
2016-05-14,897.218073562482
2016-05-15,897.218073562482
2016-05-16,897.218073562482
2016-05-17,897.218073562482
2016-05-18,897.218073562482
2016-05-19,897.218073562482
2016-05-20,897.218073562482
2016-05-21,897.218073562482
2016-05-22,897.218073562482
2016-05-23,897.218073562482
2016-05-24,897.218073562482
2016-05-25,897.218073562482
2016-05-26,897.218073562482
2016-05-27,897.218073562482
2016-05-28,897.218073562482
2016-05-29,897.218073562482
2016-05-30,897.218073562482
2016-05-31,897.218073562482
2016-06-01,897.218073562482
2016-06-02,897.218073562482
2016-06-03,897.218073562482
2016-06-04,897.218073562482
2016-06-05,897.218073562482
2016-06-06,897.218073562482
2016-06-07,897.218073562482
2016-06-08,897.218073562482
2016-06-09,897.218073562482
2016-06-10,897.218073562482
2016-06-11,897.218073562482
2016-06-12,897.218073562482
2016-06-13,897.218073562482
2016-06-14,897.218073562482
2016-06-15,897.218073562482
2016-06-16,897.218073562482
2016-06-17,897.218073562482
2016-06-18,897.218073562482
2016-06-19,897.218073562482
2016-06-20,897.218073562482
2016-06-21,897.218073562482
2016-06-22,897.218073562482
2016-06-23,897.218073562482
2016-06-24,897.218073562482
2016-06-25,897.218073562482
2016-06-26,897.218073562482
2016-06-27,897.218073562482
2016-06-28,897.218073562482
2016-06-29,897.218073562482
2016-06-30,897.218073562482
2016-07-01,897.218073562482
2016-07-02,897.218073562482
2016-07-03,897.218073562482
2016-07-04,897.218073562482
2016-07-05,897.218073562482
2016-07-06,897.218073562482
2016-07-07,897.218073562482
2016-07-08,897.218073562482
2016-07-09,897.218073562482
2016-07-10,897.218073562482
2016-07-11,897.218073562482
2016-07-12,897.218073562482
2016-07-13,897.218073562482
2016-07-14,897.218073562482
2016-07-15,897.218073562482
2016-07-16,897.218073562482
2016-07-17,897.218073562482
2016-07-18,897.218073562482
2016-07-19,897.218073562482
2016-07-20,897.218073562482
2016-07-21,897.218073562482
2016-07-22,897.218073562482
2016-07-23,897.218073562482
2016-07-24,897.218073562482
2016-07-25,897.218073562482
2016-07-26,897.218073562482
2016-07-27,897.218073562482
2016-07-28,897.218073562482
2016-07-29,897.218073562482
2016-07-30,897.218073562482
2016-07-31,897.218073562482
2016-08-01,897.218073562482
