date,gas_elec_pct
2016-01-01,76.1971630232227
2016-01-02,76.1971630232227
2016-01-03,76.1971630232227
2016-01-04,76.1971630232227
2016-01-05,76.1971630232227
2016-01-06,76.1971630232227
2016-01-07,76.1971630232227
2016-01-08,76.1971630232227
2016-01-09,76.1971630232227
2016-01-10,76.1971630232227
2016-01-11,76.1971630232227
2016-01-12,76.1971630232227
2016-01-13,76.1971630232227
2016-01-14,76.1971630232227
2016-01-15,76.1971630232227
2016-01-16,76.1971630232227
2016-01-17,76.1971630232227
2016-01-18,76.1971630232227
2016-01-19,76.1971630232227
2016-01-20,76.1971630232227
2016-01-21,76.1971630232227
2016-01-22,76.1971630232227
2016-01-23,76.1971630232227
2016-01-24,76.1971630232227
2016-01-25,76.1971630232227
2016-01-26,76.1971630232227
2016-01-27,76.1971630232227
2016-01-28,76.1971630232227
2016-01-29,76.1971630232227
2016-01-30,76.1971630232227
2016-01-31,76.1971630232227
2016-02-01,76.1971630232227
2016-02-02,76.1971630232227
2016-02-03,76.1971630232227
2016-02-04,76.1971630232227
2016-02-05,76.1971630232227
2016-02-06,76.1971630232227
2016-02-07,76.1971630232227
2016-02-08,76.1971630232227
2016-02-09,76.1971630232227
2016-02-10,76.1971630232227
2016-02-11,76.1971630232227
2016-02-12,76.1971630232227
2016-02-13,76.1971630232227
2016-02-14,76.1971630232227
2016-02-15,76.1971630232227
2016-02-16,76.1971630232227
2016-02-17,76.1971630232227
2016-02-18,76.1971630232227
2016-02-19,76.1971630232227
2016-02-20,76.1971630232227
2016-02-21,76.1971630232227
2016-02-22,76.1971630232227
2016-02-23,76.1971630232227
2016-02-24,76.1971630232227
2016-02-25,76.1971630232227
2016-02-26,76.1971630232227
2016-02-27,76.1971630232227
2016-02-28,76.1971630232227
2016-02-29,76.1971630232227
2016-03-01,76.1971630232227
2016-03-02,76.1971630232227
2016-03-03,76.1971630232227
2016-03-04,76.1971630232227
2016-03-05,76.1971630232227
2016-03-06,76.1971630232227
2016-03-07,76.1971630232227
2016-03-08,76.1971630232227
2016-03-09,76.1971630232227
2016-03-10,76.1971630232227
2016-03-11,76.1971630232227
2016-03-12,76.1971630232227
2016-03-13,76.1971630232227
2016-03-14,76.1971630232227
2016-03-15,76.1971630232227
2016-03-16,76.1971630232227
2016-03-17,76.1971630232227
2016-03-18,76.1971630232227
2016-03-19,76.1971630232227
2016-03-20,76.1971630232227
2016-03-21,76.1971630232227
2016-03-22,76.1971630232227
2016-03-23,76.1971630232227
2016-03-24,76.1971630232227
2016-03-25,76.1971630232227
2016-03-26,76.1971630232227
2016-03-27,76.1971630232227
2016-03-28,76.1971630232227
2016-03-29,76.1971630232227
2016-03-30,76.1971630232227
2016-03-31,76.1971630232227
2016-04-01,76.1971630232227
2016-04-02,76.1971630232227
2016-04-03,76.1971630232227
2016-04-04,76.1971630232227
2016-04-05,76.1971630232227
2016-04-06,76.1971630232227
2016-04-07,76.1971630232227
2016-04-08,76.1971630232227
2016-04-09,76.1971630232227
2016-04-10,76.1971630232227
2016-04-11,76.1971630232227
2016-04-12,76.1971630232227
2016-04-13,76.1971630232227
2016-04-14,76.1971630232227
2016-04-15,76.1971630232227
2016-04-16,76.1971630232227
2016-04-17,76.1971630232227
