Date,Close,High,Low,Open,Volume
2016-01-01,73.2300033569336,73.81500244140625,73.4000015258789,73.81500244140625,0
2016-01-04,73.4000015258789,72.94499969482422,72.94499969482422,72.94499969482422,0
2016-01-05,73.12249755859375,73.36499786376953,73.13500213623047,73.13500213623047,0
2016-01-06,0.7161999940872192,74.02749633789062,74.02749633789062,74.02749633789062,0
2016-01-07,74.59500122070312,75.489501953125,74.68499755859375,75.489501953125,0
2016-01-08,74.59500122070312,75.489501953125,74.08999633789062,75.489501953125,0
2016-01-11,74.79499816894531,76.13189697265625,75.052001953125,75.97599792480469,0
2016-01-12,76.00199890136719,76.9010009765625,75.8738021850586,76.9010009765625,0
2016-01-13,76.5250015258789,76.65399932861328,75.73300170898438,76.63300323486328,0
2016-01-14,76.21299743652344,76.74199676513672,76.15699768066406,76.74199676513672,0
2016-01-15,76.29299926757812,77.75499725341797,76.39900207519531,76.55799865722656,0
2016-01-18,77.70700073242188,79.36219787597656,78.31099700927734,78.31099700927734,0
2016-01-19,79.36000061035156,78.9000015258789,78.06800079345703,78.76000213623047,0
2016-01-20,78.61250305175781,81.83180236816406,79.18879699707031,79.35900115966797,0
2016-01-21,81.81999969482422,85.81800079345703,82.06300354003906,82.06300354003906,0
2016-01-22,82.9000015258789,81.25800323486328,77.93769836425781,80.61199951171875,0
2016-01-25,78.37000274658203,80.01799774169922,76.7040023803711,76.7040023803711,0
2016-01-26,79.83999633789062,82.15699768066406,78.33100128173828,81.53700256347656,0
2016-01-27,78.2300033569336,79.3949966430664,77.78099822998047,78.46099853515625,0
2016-01-28,77.8489990234375,77.88999938964844,75.47899627685547,77.70700073242188,0
2016-01-29,76.55000305175781,76.26699829101562,74.59300231933594,75.36699676513672,0
2016-02-01,75.44000244140625,76.63200378417969,75.43699645996094,75.79199981689453,0
2016-02-02,77.26000213623047,79.7249984741211,77.70850372314453,78.01100158691406,0
2016-02-03,79.71499633789062,79.75299835205078,77.87349700927734,79.55699920654297,0
2016-02-04,76.93000030517578,77.20500183105469,75.52200317382812,75.89299774169922,0
2016-02-05,76.7699966430664,77.63999938964844,76.38200378417969,77.0009994506836,0
2016-02-08,77.25,78.18000030517578,76.39199829101562,76.6510009765625,0
2016-02-09,78.94000244140625,79.17259979248047,78.06600189208984,78.88400268554688,0
2016-02-10,79.58999633789062,79.48999786376953,77.64700317382812,79.38800048828125,0
2016-02-11,78.37000274658203,80.51599884033203,78.68299865722656,78.94599914550781,0
2016-02-12,79.76750183105469,79.73799896240234,78.58599853515625,79.36100006103516,0
2016-02-15,78.30999755859375,77.95800018310547,76.875,77.55999755859375,0
2016-02-16,77.5,78.08399963378906,75.85469818115234,76.22260284423828,0
2016-02-17,77.80999755859375,78.21600341796875,75.35299682617188,78.0780029296875,0
2016-02-18,74.86000061035156,75.79399871826172,74.9469985961914,75.15799713134766,0
2016-02-19,76.3499984741211,77.82499694824219,76.02469635009766,76.3280029296875,0
2016-02-22,77.37000274658203,77.0,75.33000183105469,77.0,0
2016-02-23,77.37000274658203,77.0,75.0999984741211,77.0,0
2016-02-24,76.0999984741211,77.50700378417969,76.02200317382812,76.49299621582031,0
2016-02-25,75.73500061035156,76.572998046875,75.572998046875,76.14199829101562,0
2016-02-26,75.18000030517578,75.67500305175781,74.46900177001953,75.3499984741211,0
2016-02-29,76.33999633789062,76.24700164794922,75.03299713134766,75.61399841308594,0
2016-03-01,74.40499877929688,74.28900146484375,73.53600311279297,74.23799896240234,0
2016-03-02,73.27999877929688,74.1520004272461,73.13300323486328,73.13300323486328,0
2016-03-03,73.3499984741211,74.00599670410156,73.08499908447266,73.4260025024414,0
2016-03-04,73.08999633789062,73.38600158691406,72.1760025024414,72.7300033569336,0
2016-03-07,73.08999633789062,73.38600158691406,71.87000274658203,72.7300033569336,0
2016-03-08,73.08999633789062,73.38600158691406,71.87000274658203,72.7300033569336,0
2016-03-09,71.87000274658203,72.62200164794922,70.70999908447266,72.12300109863281,0
2016-03-10,70.98200225830078,71.45500183105469,69.91799926757812,71.17500305175781,0
2016-03-11,71.14800262451172,70.72200012207031,69.45259857177734,70.72200012207031,0
2016-03-14,69.90499877929688,70.91100311279297,69.84500122070312,70.04199981689453,0
2016-03-15,70.26000213623047,71.36499786376953,69.94999694824219,69.94999694824219,0
2016-03-16,71.08999633789062,71.19999694824219,70.21720123291016,70.8499984741211,0
2016-03-17,69.83499908447266,68.94100189208984,68.03009796142578,68.94100189208984,0
2016-03-18,68.12000274658203,68.66100311279297,67.23699951171875,67.93699645996094,0
2016-03-21,68.33000183105469,69.11000061035156,67.49299621582031,68.81099700927734,0
2016-03-22,67.86000061035156,68.2249984741211,67.2770004272461,67.9000015258789,0
2016-03-23,67.25,68.48899841308594,67.41200256347656,67.71099853515625,0
2016-03-24,68.71499633789062,69.62899780273438,68.64900207519531,68.90399932861328,0
2016-03-25,68.58000183105469,68.62300109863281,67.80699920654297,68.49600219726562,0
2016-03-28,68.23999786376953,68.60099792480469,67.5739974975586,67.802001953125,0
2016-03-29,68.41000366210938,69.18800354003906,68.43599700927734,68.8550033569336,0
2016-03-30,68.06500244140625,67.81700134277344,67.20700073242188,67.81700134277344,0
2016-03-31,67.68000030517578,67.93599700927734,66.70500183105469,67.87899780273438,0
2016-04-01,67.0,68.31600189208984,66.84500122070312,66.84500122070312,0
2016-04-04,67.5,68.85099792480469,67.73999786376953,68.22200012207031,0
2016-04-05,68.6500015258789,69.4530029296875,68.59200286865234,68.9729995727539,0
2016-04-06,68.75,68.81300354003906,67.8019027709961,68.59500122070312,0
2016-04-07,67.8499984741211,68.38300323486328,67.48500061035156,67.48500061035156,0
2016-04-08,68.02999877929688,67.83000183105469,66.9020004272461,67.83000183105469,0
2016-04-11,67.07499694824219,67.30899810791016,66.39199829101562,66.9000015258789,0
2016-04-12,66.75,66.4542007446289,65.5989990234375,66.44999694824219,0
2016-04-13,65.18499755859375,66.02490234375,65.23539733886719,65.96749877929688,0
2016-04-14,65.98999786376953,66.60910034179688,65.75399780273438,66.20999908447266,0
2016-04-15,65.93000030517578,66.59600067138672,65.86599731445312,66.1624984741211,0
2016-04-18,66.5,68.739501953125,66.07489776611328,68.24400329589844,0
2016-04-19,66.44999694824219,65.8030014038086,65.4197006225586,65.56999969482422,0
2016-04-20,65.87999725341797,66.41400146484375,65.39620208740234,66.3489990234375,0
2016-04-21,65.67500305175781,66.28730010986328,64.63999938964844,64.6989974975586,0
2016-04-22,66.66000366210938,66.52249908447266,65.54399871826172,66.177001953125,0
2016-04-25,66.76000213623047,66.83200073242188,65.86759948730469,66.3550033569336,0
2016-04-26,66.55999755859375,66.64900207519531,65.75499725341797,66.64900207519531,0
2016-04-27,65.76499938964844,65.95600128173828,64.9540023803711,65.18399810791016,0
2016-04-28,65.11000061035156,65.25499725341797,64.31500244140625,65.19599914550781,0
2016-04-29,64.55999755859375,64.76699829101562,63.987998962402344,64.37200164794922,0
2016-05-02,64.55999755859375,65.67749786376953,63.987998962402344,64.37200164794922,0
2016-05-03,64.55999755859375,65.67749786376953,63.987998962402344,64.37200164794922,0
2016-05-04,66.3499984741211,66.56400299072266,65.73200225830078,66.5459976196289,0
2016-05-05,66.58399963378906,66.06400299072266,65.21700286865234,66.05799865722656,0
2016-05-06,65.9739990234375,66.59300231933594,65.54139709472656,66.13099670410156,0
2016-05-09,65.86199951171875,66.29000091552734,65.86000061035156,65.86000061035156,0
2016-05-10,66.29000091552734,66.63259887695312,66.06999969482422,66.55999755859375,0
2016-05-11,66.09600067138672,66.3489990234375,64.85700225830078,66.28099822998047,0
2016-05-12,65.04499816894531,65.41580200195312,64.55500030517578,64.9219970703125,0
2016-05-13,64.83000183105469,65.53800201416016,64.75199890136719,65.07499694824219,0
2016-05-16,65.48200225830078,65.1510009765625,64.58699798583984,64.7509994506836,0
2016-05-17,64.88400268554688,65.0459976196289,64.36199951171875,64.50499725341797,0
2016-05-18,64.71900177001953,65.46299743652344,64.85099792480469,64.93900299072266,0
2016-05-19,65.74500274658203,67.27420043945312,65.98899841308594,66.10399627685547,0
2016-05-20,66.72000122070312,66.93199920654297,66.26100158691406,66.47599792480469,0
2016-05-23,66.84500122070312,67.19599914550781,66.80000305175781,66.80000305175781,0
2016-05-24,66.78700256347656,67.0979995727539,66.49410247802734,67.06749725341797,0
2016-05-25,66.41000366210938,65.9990005493164,65.3290023803711,65.89900207519531,0
2016-05-26,65.42500305175781,65.83599853515625,64.98500061035156,64.98500061035156,0
2016-05-27,65.82499694824219,66.37699890136719,65.76499938964844,65.76499938964844,0
2016-05-30,66.1500015258789,66.21499633789062,65.7969970703125,66.10299682617188,0
2016-05-31,65.66899871826172,66.21499633789062,65.73200225830078,65.73200225830078,0
2016-06-01,66.8270034790039,67.2969970703125,66.50389862060547,66.72100067138672,0
2016-06-02,66.91000366210938,67.67400360107422,66.6095962524414,66.91220092773438,0
2016-06-03,67.05999755859375,67.13999938964844,65.76899719238281,66.73899841308594,0
2016-06-06,65.65399932861328,65.95500183105469,65.09600067138672,65.63999938964844,0
2016-06-07,65.23999786376953,65.4020004272461,64.70700073242188,65.31700134277344,0
2016-06-08,64.62000274658203,64.78089904785156,63.487998962402344,64.53199768066406,0
2016-06-09,63.71889877319336,64.45099639892578,63.38600158691406,63.54899978637695,0
2016-06-10,64.19599914550781,64.89099884033203,64.0979995727539,64.71900177001953,0
2016-06-13,65.302001953125,65.66999816894531,65.05000305175781,65.05000305175781,0
2016-06-14,65.68499755859375,66.27999877929688,65.74600219726562,65.76519775390625,0
2016-06-15,66.05999755859375,66.03399658203125,65.28500366210938,65.94499969482422,0
2016-06-16,65.25299835205078,66.0739974975586,65.62300109863281,65.77300262451172,0
2016-06-17,65.57499694824219,65.50399780273438,64.74800109863281,65.46900177001953,0
2016-06-20,64.75,64.40599822998047,63.7400016784668,64.40599822998047,0
2016-06-21,64.26499938964844,64.45600128173828,63.80400085449219,64.24199676513672,0
2016-06-22,63.93600082397461,64.44400024414062,63.51100158691406,63.51100158691406,0
2016-06-23,64.76899719238281,64.68099975585938,63.917999267578125,64.68099975585938,0
2016-06-24,63.76499938964844,65.80500030517578,64.69999694824219,65.72599792480469,0
2016-06-27,65.2874984741211,65.53800201416016,64.81199645996094,65.0999984741211,0
2016-06-28,65.4000015258789,64.93599700927734,64.37899780273438,64.87200164794922,0
2016-06-29,64.04000091552734,64.43499755859375,63.61899948120117,64.04900360107422,0
2016-06-30,63.814998626708984,64.39600372314453,63.82099914550781,63.981998443603516,0
2016-07-01,63.959999084472656,64.24199676513672,63.82099914550781,64.00399780273438,0
2016-07-04,63.790000915527344,63.981998443603516,63.51900100708008,63.71799850463867,0
2016-07-05,63.83000183105469,64.65299987792969,64.09100341796875,64.25900268554688,0
2016-07-06,64.43499755859375,64.79100036621094,64.41600036621094,64.68900299072266,0
2016-07-07,64.26499938964844,64.2020034790039,63.73099899291992,64.1780014038086,0
2016-07-08,64.67900085449219,64.46600341796875,63.70199966430664,64.45600128173828,0
2016-07-11,63.834999084472656,64.28600311279297,63.834999084472656,64.0999984741211,0
