id,region,ticker,date,value
1,japan,interest_rate,01/01/2016,0.095
2,japan,interest_rate,02/01/2016,0.095
3,japan,interest_rate,03/01/2016,0.095
4,japan,interest_rate,04/01/2016,0.095
5,japan,interest_rate,05/01/2016,0.095
6,japan,interest_rate,06/01/2016,0.095
7,japan,interest_rate,07/01/2016,0.095
8,japan,interest_rate,08/01/2016,0.095
9,japan,interest_rate,09/01/2016,0.095
10,japan,interest_rate,10/01/2016,0.095
11,japan,interest_rate,11/01/2016,0.095
12,japan,interest_rate,12/01/2016,0.095
13,japan,interest_rate,13/01/2016,0.095
14,japan,interest_rate,14/01/2016,0.095
15,japan,interest_rate,15/01/2016,0.095
16,japan,interest_rate,16/01/2016,0.095
17,japan,interest_rate,17/01/2016,0.095
18,japan,interest_rate,18/01/2016,0.095
19,japan,interest_rate,19/01/2016,0.095
20,japan,interest_rate,20/01/2016,0.095
21,japan,interest_rate,21/01/2016,0.095
22,japan,interest_rate,22/01/2016,0.095
23,japan,interest_rate,23/01/2016,0.095
24,japan,interest_rate,24/01/2016,0.095
25,japan,interest_rate,25/01/2016,0.095
26,japan,interest_rate,26/01/2016,0.095
27,japan,interest_rate,27/01/2016,0.095
28,japan,interest_rate,28/01/2016,0.095
29,japan,interest_rate,29/01/2016,0.095
30,japan,interest_rate,30/01/2016,0.095
31,japan,interest_rate,31/01/2016,0.095
32,japan,interest_rate,01/02/2016,-0.065
33,japan,interest_rate,02/02/2016,-0.065
34,japan,interest_rate,03/02/2016,-0.065
35,japan,interest_rate,04/02/2016,-0.065
36,japan,interest_rate,05/02/2016,-0.065
37,japan,interest_rate,06/02/2016,-0.065
38,japan,interest_rate,07/02/2016,-0.065
39,japan,interest_rate,08/02/2016,-0.065
40,japan,interest_rate,09/02/2016,-0.065
41,japan,interest_rate,10/02/2016,-0.065
42,japan,interest_rate,11/02/2016,-0.065
43,japan,interest_rate,12/02/2016,-0.065
44,japan,interest_rate,13/02/2016,-0.065
45,japan,interest_rate,14/02/2016,-0.065
46,japan,interest_rate,15/02/2016,-0.065
47,japan,interest_rate,16/02/2016,-0.065
48,japan,interest_rate,17/02/2016,-0.065
49,japan,interest_rate,18/02/2016,-0.065
50,japan,interest_rate,19/02/2016,-0.065
51,japan,interest_rate,20/02/2016,-0.065
52,japan,interest_rate,21/02/2016,-0.065
53,japan,interest_rate,22/02/2016,-0.065
54,japan,interest_rate,23/02/2016,-0.065
55,japan,interest_rate,24/02/2016,-0.065
56,japan,interest_rate,25/02/2016,-0.065
57,japan,interest_rate,26/02/2016,-0.065
58,japan,interest_rate,27/02/2016,-0.065
59,japan,interest_rate,28/02/2016,-0.065
60,japan,interest_rate,29/02/2016,-0.065
61,japan,interest_rate,01/03/2016,-0.05
62,japan,interest_rate,02/03/2016,-0.05
63,japan,interest_rate,03/03/2016,-0.05
64,japan,interest_rate,04/03/2016,-0.05
65,japan,interest_rate,05/03/2016,-0.05
66,japan,interest_rate,06/03/2016,-0.05
67,japan,interest_rate,07/03/2016,-0.05
68,japan,interest_rate,08/03/2016,-0.05
69,japan,interest_rate,09/03/2016,-0.05
70,japan,interest_rate,10/03/2016,-0.05
71,japan,interest_rate,11/03/2016,-0.05
72,japan,interest_rate,12/03/2016,-0.05
73,japan,interest_rate,13/03/2016,-0.05
74,japan,interest_rate,14/03/2016,-0.05
75,japan,interest_rate,15/03/2016,-0.05
76,japan,interest_rate,16/03/2016,-0.05
77,japan,interest_rate,17/03/2016,-0.05
78,japan,interest_rate,18/03/2016,-0.05
79,japan,interest_rate,19/03/2016,-0.05
80,japan,interest_rate,20/03/2016,-0.05
81,japan,interest_rate,21/03/2016,-0.05
82,japan,interest_rate,22/03/2016,-0.05
