id,region,date,oil_elec_pct,energy_use,fuel_imports,fuel_exports,gas_elec_pct
1,ksa,01/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
2,ksa,02/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
3,ksa,03/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
4,ksa,04/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
5,ksa,05/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
6,ksa,06/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
7,ksa,07/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
8,ksa,08/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
9,ksa,09/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
10,ksa,10/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
11,ksa,11/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
12,ksa,12/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
13,ksa,13/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
14,ksa,14/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
15,ksa,15/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
16,ksa,16/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
17,ksa,17/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
18,ksa,18/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
19,ksa,19/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
20,ksa,20/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
21,ksa,21/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
22,ksa,22/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
23,ksa,23/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
24,ksa,24/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
25,ksa,25/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
26,ksa,26/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
27,ksa,27/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
28,ksa,28/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
29,ksa,29/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
30,ksa,30/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
31,ksa,31/01/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
32,ksa,01/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
33,ksa,02/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
34,ksa,03/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
35,ksa,04/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
36,ksa,05/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
37,ksa,06/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
38,ksa,07/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
39,ksa,08/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
40,ksa,09/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
41,ksa,10/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
42,ksa,11/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
43,ksa,12/02/2016,53.0827727881275,7521.58911581712,1.24627700192479,77.5498175972453,46.9047606142238
