id,region,ticker,date,value
1,norway,2y_yield,01/01/2016,1.16
2,norway,2y_yield,02/01/2016,1.16
3,norway,2y_yield,03/01/2016,1.16
4,norway,2y_yield,04/01/2016,1.16
5,norway,2y_yield,05/01/2016,1.16
6,norway,2y_yield,06/01/2016,1.16
7,norway,2y_yield,07/01/2016,1.16
8,norway,2y_yield,08/01/2016,1.16
9,norway,2y_yield,09/01/2016,1.16
10,norway,2y_yield,10/01/2016,1.16
11,norway,2y_yield,11/01/2016,1.16
12,norway,2y_yield,12/01/2016,1.16
13,norway,2y_yield,13/01/2016,1.16
14,norway,2y_yield,14/01/2016,1.16
15,norway,2y_yield,15/01/2016,1.16
16,norway,2y_yield,16/01/2016,1.16
17,norway,2y_yield,17/01/2016,1.16
18,norway,2y_yield,18/01/2016,1.16
19,norway,2y_yield,19/01/2016,1.16
20,norway,2y_yield,20/01/2016,1.16
21,norway,2y_yield,21/01/2016,1.16
22,norway,2y_yield,22/01/2016,1.16
23,norway,2y_yield,23/01/2016,1.16
24,norway,2y_yield,24/01/2016,1.16
25,norway,2y_yield,25/01/2016,1.16
26,norway,2y_yield,26/01/2016,1.16
27,norway,2y_yield,27/01/2016,1.16
28,norway,2y_yield,28/01/2016,1.16
29,norway,2y_yield,29/01/2016,1.16
30,norway,2y_yield,30/01/2016,1.16
31,norway,2y_yield,31/01/2016,1.16
32,norway,2y_yield,01/02/2016,1.09
33,norway,2y_yield,02/02/2016,1.09
34,norway,2y_yield,03/02/2016,1.09
35,norway,2y_yield,04/02/2016,1.09
36,norway,2y_yield,05/02/2016,1.09
37,norway,2y_yield,06/02/2016,1.09
38,norway,2y_yield,07/02/2016,1.09
39,norway,2y_yield,08/02/2016,1.09
40,norway,2y_yield,09/02/2016,1.09
41,norway,2y_yield,10/02/2016,1.09
42,norway,2y_yield,11/02/2016,1.09
43,norway,2y_yield,12/02/2016,1.09
44,norway,2y_yield,13/02/2016,1.09
45,norway,2y_yield,14/02/2016,1.09
46,norway,2y_yield,15/02/2016,1.09
47,norway,2y_yield,16/02/2016,1.09
48,norway,2y_yield,17/02/2016,1.09
49,norway,2y_yield,18/02/2016,1.09
50,norway,2y_yield,19/02/2016,1.09
51,norway,2y_yield,20/02/2016,1.09
52,norway,2y_yield,21/02/2016,1.09
53,norway,2y_yield,22/02/2016,1.09
54,norway,2y_yield,23/02/2016,1.09
55,norway,2y_yield,24/02/2016,1.09
56,norway,2y_yield,25/02/2016,1.09
57,norway,2y_yield,26/02/2016,1.09
58,norway,2y_yield,27/02/2016,1.09
59,norway,2y_yield,28/02/2016,1.09
60,norway,2y_yield,29/02/2016,1.09
61,norway,2y_yield,01/03/2016,1.02
62,norway,2y_yield,02/03/2016,1.02
63,norway,2y_yield,03/03/2016,1.02
64,norway,2y_yield,04/03/2016,1.02
65,norway,2y_yield,05/03/2016,1.02
66,norway,2y_yield,06/03/2016,1.02
67,norway,2y_yield,07/03/2016,1.02
68,norway,2y_yield,08/03/2016,1.02
69,norway,2y_yield,09/03/2016,1.02
70,norway,2y_yield,10/03/2016,1.02
71,norway,2y_yield,11/03/2016,1.02
72,norway,2y_yield,12/03/2016,1.02
73,norway,2y_yield,13/03/2016,1.02
74,norway,2y_yield,14/03/2016,1.02
75,norway,2y_yield,15/03/2016,1.02
76,norway,2y_yield,16/03/2016,1.02
77,norway,2y_yield,17/03/2016,1.02
78,norway,2y_yield,18/03/2016,1.02
79,norway,2y_yield,19/03/2016,1.02
80,norway,2y_yield,20/03/2016,1.02
81,norway,2y_yield,21/03/2016,1.02
82,norway,2y_yield,22/03/2016,1.02
83,norway,2y_yield,23/03/2016,1.02
84,norway,2y_yield,24/03/2016,1.02
85,norway,2y_yield,25/03/2016,1.02
86,norway,2y_yield,26/03/2016,1.02
87,norway,2y_yield,27/03/2016,1.02
88,norway,2y_yield,28/03/2016,1.02
89,norway,2y_yield,29/03/2016,1.02
90,norway,2y_yield,30/03/2016,1.02
91,norway,2y_yield,31/03/2016,1.02
92,norway,2y_yield,01/04/2016,0.98
93,norway,2y_yield,02/04/2016,0.98
94,norway,2y_yield,03/04/2016,0.98
95,norway,2y_yield,04/04/2016,0.98
96,norway,2y_yield,05/04/2016,0.98
97,norway,2y_yield,06/04/2016,0.98
98,norway,2y_yield,07/04/2016,0.98
99,norway,2y_yield,08/04/2016,0.98
100,norway,2y_yield,09/04/2016,0.98
101,norway,2y_yield,10/04/2016,0.98
102,norway,2y_yield,11/04/2016,0.98
103,norway,2y_yield,12/04/2016,0.98
104,norway,2y_yield,13/04/2016,0.98
105,norway,2y_yield,14/04/2016,0.98
106,norway,2y_yield,15/04/2016,0.98
107,norway,2y_yield,16/04/2016,0.98
108,norway,2y_yield,17/04/2016,0.98
109,norway,2y_yield,18/04/2016,0.98
110,norway,2y_yield,19/04/2016,0.98
111,norway,2y_yield,20/04/2016,0.98
112,norway,2y_yield,21/04/2016,0.98
113,norway,2y_yield,22/04/2016,0.98
114,norway,2y_yield,23/04/2016,0.98
115,norway,2y_yield,24/04/2016,0.98
116,norway,2y_yield,25/04/2016,0.98
117,norway,2y_yield,26/04/2016,0.98
118,norway,2y_yield,27/04/2016,0.98
119,norway,2y_yield,28/04/2016,0.98
120,norway,2y_yield,29/04/2016,0.98
121,norway,2y_yield,30/04/2016,0.98
122,norway,2y_yield,01/05/2016,0.98
123,norway,2y_yield,02/05/2016,0.98
124,norway,2y_yield,03/05/2016,0.98
125,norway,2y_yield,04/05/2016,0.98
126,norway,2y_yield,05/05/2016,0.98
127,norway,2y_yield,06/05/2016,0.98
128,norway,2y_yield,07/05/2016,0.98
129,norway,2y_yield,08/05/2016,0.98
130,norway,2y_yield,09/05/2016,0.98
131,norway,2y_yield,10/05/2016,0.98
132,norway,2y_yield,11/05/2016,0.98
133,norway,2y_yield,12/05/2016,0.98
134,norway,2y_yield,13/05/2016,0.98
135,norway,2y_yield,14/05/2016,0.98
136,norway,2y_yield,15/05/2016,0.98
137,norway,2y_yield,16/05/2016,0.98
138,norway,2y_yield,17/05/2016,0.98
139,norway,2y_yield,18/05/2016,0.98
140,norway,2y_yield,19/05/2016,0.98
141,norway,2y_yield,20/05/2016,0.98
142,norway,2y_yield,21/05/2016,0.98
143,norway,2y_yield,22/05/2016,0.98
144,norway,2y_yield,23/05/2016,0.98
145,norway,2y_yield,24/05/2016,0.98
146,norway,2y_yield,25/05/2016,0.98
147,norway,2y_yield,26/05/2016,0.98
148,norway,2y_yield,27/05/2016,0.98
149,norway,2y_yield,28/05/2016,0.98
150,norway,2y_yield,29/05/2016,0.98
151,norway,2y_yield,30/05/2016,0.98
152,norway,2y_yield,31/05/2016,0.98
153,norway,2y_yield,01/06/2016,1.02
154,norway,2y_yield,02/06/2016,1.02
155,norway,2y_yield,03/06/2016,1.02
156,norway,2y_yield,04/06/2016,1.02
157,norway,2y_yield,05/06/2016,1.02
158,norway,2y_yield,06/06/2016,1.02
159,norway,2y_yield,07/06/2016,1.02
160,norway,2y_yield,08/06/2016,1.02
161,norway,2y_yield,09/06/2016,1.02
162,norway,2y_yield,10/06/2016,1.02
163,norway,2y_yield,11/06/2016,1.02
164,norway,2y_yield,12/06/2016,1.02
165,norway,2y_yield,13/06/2016,1.02
166,norway,2y_yield,14/06/2016,1.02
167,norway,2y_yield,15/06/2016,1.02
168,norway,2y_yield,16/06/2016,1.02
169,norway,2y_yield,17/06/2016,1.02
170,norway,2y_yield,18/06/2016,1.02
171,norway,2y_yield,19/06/2016,1.02
172,norway,2y_yield,20/06/2016,1.02
173,norway,2y_yield,21/06/2016,1.02
174,norway,2y_yield,22/06/2016,1.02
175,norway,2y_yield,23/06/2016,1.02
176,norway,2y_yield,24/06/2016,1.02
177,norway,2y_yield,25/06/2016,1.02
178,norway,2y_yield,26/06/2016,1.02
179,norway,2y_yield,27/06/2016,1.02
180,norway,2y_yield,28/06/2016,1.02
181,norway,2y_yield,29/06/2016,1.02
182,norway,2y_yield,30/06/2016,1.02
183,norway,2y_yield,01/07/2016,1.01
184,norway,2y_yield,02/07/2016,1.01
185,norway,2y_yield,03/07/2016,1.01
186,norway,2y_yield,04/07/2016,1.01
187,norway,2y_yield,05/07/2016,1.01
188,norway,2y_yield,06/07/2016,1.01
189,norway,2y_yield,07/07/2016,1.01
190,norway,2y_yield,08/07/2016,1.01
191,norway,2y_yield,09/07/2016,1.01
192,norway,2y_yield,10/07/2016,1.01
193,norway,2y_yield,11/07/2016,1.01
194,norway,2y_yield,12/07/2016,1.01
195,norway,2y_yield,13/07/2016,1.01
196,norway,2y_yield,14/07/2016,1.01
197,norway,2y_yield,15/07/2016,1.01
198,norway,2y_yield,16/07/2016,1.01
199,norway,2y_yield,17/07/2016,1.01
200,norway,2y_yield,18/07/2016,1.01
201,norway,2y_yield,19/07/2016,1.01
202,norway,2y_yield,20/07/2016,1.01
203,norway,2y_yield,21/07/2016,1.01
204,norway,2y_yield,22/07/2016,1.01
205,norway,2y_yield,23/07/2016,1.01
206,norway,2y_yield,24/07/2016,1.01
207,norway,2y_yield,25/07/2016,1.01
208,norway,2y_yield,26/07/2016,1.01
209,norway,2y_yield,27/07/2016,1.01
210,norway,2y_yield,28/07/2016,1.01
211,norway,2y_yield,29/07/2016,1.01
212,norway,2y_yield,30/07/2016,1.01
213,norway,2y_yield,31/07/2016,1.01
214,norway,2y_yield,01/08/2016,1.08
215,norway,2y_yield,02/08/2016,1.08
216,norway,2y_yield,03/08/2016,1.08
217,norway,2y_yield,04/08/2016,1.08
218,norway,2y_yield,05/08/2016,1.08
219,norway,2y_yield,06/08/2016,1.08
220,norway,2y_yield,07/08/2016,1.08
221,norway,2y_yield,08/08/2016,1.08
222,norway,2y_yield,09/08/2016,1.08
223,norway,2y_yield,10/08/2016,1.08
224,norway,2y_yield,11/08/2016,1.08
225,norway,2y_yield,12/08/2016,1.08
226,norway,2y_yield,13/08/2016,1.08
227,norway,2y_yield,14/08/2016,1.08
228,norway,2y_yield,15/08/2016,1.08
229,norway,2y_yield,16/08/2016,1.08
230,norway,2y_yield,17/08/2016,1.08
231,norway,2y_yield,18/08/2016,1.08
232,norway,2y_yield,19/08/2016,1.08
233,norway,2y_yield,20/08/2016,1.08
234,norway,2y_yield,21/08/2016,1.08
235,norway,2y_yield,22/08/2016,1.08
236,norway,2y_yield,23/08/2016,1.08
237,norway,2y_yield,24/08/2016,1.08
238,norway,2y_yield,25/08/2016,1.08
239,norway,2y_yield,26/08/2016,1.08
240,norway,2y_yield,27/08/2016,1.08
241,norway,2y_yield,28/08/2016,1.08
242,norway,2y_yield,29/08/2016,1.08
243,norway,2y_yield,30/08/2016,1.08
244,norway,2y_yield,31/08/2016,1.08
245,norway,2y_yield,01/09/2016,1.09
246,norway,2y_yield,02/09/2016,1.09
247,norway,2y_yield,03/09/2016,1.09
248,norway,2y_yield,04/09/2016,1.09
249,norway,2y_yield,05/09/2016,1.09
250,norway,2y_yield,06/09/2016,1.09
251,norway,2y_yield,07/09/2016,1.09
252,norway,2y_yield,08/09/2016,1.09
253,norway,2y_yield,09/09/2016,1.09
254,norway,2y_yield,10/09/2016,1.09
255,norway,2y_yield,11/09/2016,1.09
256,norway,2y_yield,12/09/2016,1.09
257,norway,2y_yield,13/09/2016,1.09
258,norway,2y_yield,14/09/2016,1.09
259,norway,2y_yield,15/09/2016,1.09
260,norway,2y_yield,16/09/2016,1.09
261,norway,2y_yield,17/09/2016,1.09
262,norway,2y_yield,18/09/2016,1.09
263,norway,2y_yield,19/09/2016,1.09
264,norway,2y_yield,20/09/2016,1.09
265,norway,2y_yield,21/09/2016,1.09
266,norway,2y_yield,22/09/2016,1.09
267,norway,2y_yield,23/09/2016,1.09
268,norway,2y_yield,24/09/2016,1.09
269,norway,2y_yield,25/09/2016,1.09
270,norway,2y_yield,26/09/2016,1.09
271,norway,2y_yield,27/09/2016,1.09
272,norway,2y_yield,28/09/2016,1.09
273,norway,2y_yield,29/09/2016,1.09
274,norway,2y_yield,30/09/2016,1.09
275,norway,2y_yield,01/10/2016,1.11
276,norway,2y_yield,02/10/2016,1.11
277,norway,2y_yield,03/10/2016,1.11
278,norway,2y_yield,04/10/2016,1.11
279,norway,2y_yield,05/10/2016,1.11
280,norway,2y_yield,06/10/2016,1.11
281,norway,2y_yield,07/10/2016,1.11
282,norway,2y_yield,08/10/2016,1.11
283,norway,2y_yield,09/10/2016,1.11
284,norway,2y_yield,10/10/2016,1.11
285,norway,2y_yield,11/10/2016,1.11
286,norway,2y_yield,12/10/2016,1.11
287,norway,2y_yield,13/10/2016,1.11
288,norway,2y_yield,14/10/2016,1.11
289,norway,2y_yield,15/10/2016,1.11
290,norway,2y_yield,16/10/2016,1.11
291,norway,2y_yield,17/10/2016,1.11
292,norway,2y_yield,18/10/2016,1.11
293,norway,2y_yield,19/10/2016,1.11
294,norway,2y_yield,20/10/2016,1.11
295,norway,2y_yield,21/10/2016,1.11
296,norway,2y_yield,22/10/2016,1.11
297,norway,2y_yield,23/10/2016,1.11
298,norway,2y_yield,24/10/2016,1.11
299,norway,2y_yield,25/10/2016,1.11
300,norway,2y_yield,26/10/2016,1.11
301,norway,2y_yield,27/10/2016,1.11
302,norway,2y_yield,28/10/2016,1.11
303,norway,2y_yield,29/10/2016,1.11
304,norway,2y_yield,30/10/2016,1.11
305,norway,2y_yield,31/10/2016,1.11
306,norway,2y_yield,01/11/2016,1.1
307,norway,2y_yield,02/11/2016,1.1
308,norway,2y_yield,03/11/2016,1.1
309,norway,2y_yield,04/11/2016,1.1
310,norway,2y_yield,05/11/2016,1.1
311,norway,2y_yield,06/11/2016,1.1
312,norway,2y_yield,07/11/2016,1.1
313,norway,2y_yield,08/11/2016,1.1
314,norway,2y_yield,09/11/2016,1.1
315,norway,2y_yield,10/11/2016,1.1
316,norway,2y_yield,11/11/2016,1.1
317,norway,2y_yield,12/11/2016,1.1
318,norway,2y_yield,13/11/2016,1.1
319,norway,2y_yield,14/11/2016,1.1
320,norway,2y_yield,15/11/2016,1.1
321,norway,2y_yield,16/11/2016,1.1
322,norway,2y_yield,17/11/2016,1.1
323,norway,2y_yield,18/11/2016,1.1
324,norway,2y_yield,19/11/2016,1.1
