Price,Open,High,Low,Close,Volume
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
Date,,,,,
1/2/2015,4760.240234,4777.009766,4698.109863,4726.810059,1435150000
1/5/2015,4700.339844,4702.77002,4641.459961,4652.569824,1794470000
1/6/2015,4666.850098,4667.330078,4567.589844,4592.740234,2167320000
1/7/2015,4626.839844,4652.720215,4613.899902,4650.470215,1957950000
1/8/2015,4689.540039,4741.379883,4688.02002,4736.189941,2105450000
1/9/2015,4744.470215,4744.709961,4681.240234,4704.069824,1715830000
1/12/2015,4714.069824,4715.810059,4650.649902,4664.709961,1861960000
1/13/2015,4708.740234,4751.339844,4624.279785,4661.5,2162180000
1/14/2015,4610.759766,4655.370117,4595.97998,4639.319824,2073810000
1/15/2015,4657.459961,4663.959961,4567.390137,4570.819824,1976260000
1/16/2015,4566.379883,4635.819824,4563.109863,4634.379883,1970520000
1/20/2015,4655.839844,4665.649902,4601.100098,4654.850098,1835040000
1/21/2015,4641.950195,4692.459961,4629.589844,4667.419922,1847420000
1/22/2015,4690.930176,4752.600098,4644.569824,4750.399902,1996550000
1/23/2015,4748.189941,4771.180176,4737.950195,4757.879883,1653830000
1/26/2015,4752.359863,4774.180176,4734.200195,4771.759766,1717510000
1/27/2015,4698.22998,4721.870117,4659.830078,4681.5,1954160000
1/28/2015,4740.689941,4742.060059,4637.47998,4637.990234,2118680000
1/29/2015,4635.72998,4688.410156,4601.759766,4683.410156,2110710000
1/30/2015,4671.209961,4703.810059,4631.100098,4635.240234,2264230000
2/2/2015,4650.600098,4676.689941,4580.459961,4676.689941,2006450000
2/3/2015,4693.25,4727.740234,4670.819824,4727.740234,2153520000
2/4/2015,4699.810059,4744.330078,4697.790039,4716.700195,2212960000
2/5/2015,4729.649902,4767.379883,4722.799805,4765.100098,2036590000
2/6/2015,4768.839844,4787.180176,4731.220215,4744.399902,2034060000
2/9/2015,4723.72998,4749.470215,4719.609863,4726.009766,1654680000
2/10/2015,4754.629883,4793.27002,4737.120117,4787.640137,1773730000
2/11/2015,4788.370117,4810.359863,4780.129883,4801.180176,1793630000
2/12/2015,4828.080078,4857.609863,4823.569824,4857.609863,2075470000
2/13/2015,4869.72998,4893.839844,4860.120117,4893.839844,1942240000
2/17/2015,4889.990234,4901.890137,4880.640137,4899.27002,1751490000
2/18/2015,4890.839844,4907.5,4885.600098,4906.359863,1684800000
2/19/2015,4901.509766,4929.529785,4900.629883,4924.700195,1592890000
2/20/2015,4919.779785,4957.02002,4905.589844,4955.970215,1761140000
2/23/2015,4953.100098,4960.970215,4939.560059,4960.970215,1754850000
2/24/2015,4956.209961,4971.180176,4945.140137,4968.120117,1834890000
2/25/2015,4960.359863,4984.240234,4956,4967.140137,1848560000
2/26/2015,4969.27002,4989.109863,4955.509766,4987.890137,1905550000
2/27/2015,4985.029785,4989.25,4960.870117,4963.529785,1955590000
3/2/2015,4973.430176,5008.569824,4972.009766,5008.100098,1931110000
3/3/2015,4990.700195,4996.660156,4956.069824,4979.899902,2018900000
3/4/2015,4961.240234,4973.319824,4938.899902,4967.140137,1824830000
3/5/2015,4979.950195,4993.52002,4963.100098,4982.810059,1724200000
3/6/2015,4967.240234,4982.930176,4918.629883,4927.370117,1918220000
3/9/2015,4936.080078,4950.470215,4920.819824,4942.439941,1696510000
