id,region,ticker,year,value
1,egypt,cpi_imf,01/01/2015,11
2,egypt,cpi_imf,01/01/2016,10.2
3,egypt,cpi_imf,01/01/2017,23.5
4,egypt,cpi_imf,01/01/2018,20.9
5,egypt,cpi_imf,01/01/2019,13.9
6,egypt,cpi_imf,01/01/2020,5.7
7,egypt,cpi_imf,01/01/2021,4.5
8,egypt,cpi_imf,01/01/2022,8.5
9,egypt,cpi_imf,01/01/2023,24.4
10,egypt,cpi_imf,01/01/2024,33.3
11,egypt,cpi_imf,01/01/2025,20.4
