id,region,ticker,date,price_usd,high_usd,low_usd,open_usd
1,uk,london,2016-01-01,6093.39990234375,6242.2998046875,6071.0,6242.2998046875
2,uk,london,2016-01-02,6093.39990234375,6242.2998046875,6071.0,6242.2998046875
3,uk,london,2016-01-03,6093.39990234375,6242.2998046875,6071.0,6242.2998046875
4,uk,london,2016-01-04,6093.39990234375,6242.2998046875,6071.0,6242.2998046875
5,uk,london,2016-01-05,6137.2001953125,6166.2998046875,6079.2001953125,6093.39990234375
6,uk,london,2016-01-06,6073.39990234375,6137.2001953125,6018.7001953125,6137.2001953125
7,uk,london,2016-01-07,5954.10009765625,6073.39990234375,5888.0,6073.39990234375
8,uk,london,2016-01-08,5912.39990234375,6013.39990234375,5912.39990234375,5954.10009765625
9,uk,london,2016-01-09,5912.39990234375,6013.39990234375,5912.39990234375,5954.10009765625
10,uk,london,2016-01-10,5912.39990234375,6013.39990234375,5912.39990234375,5954.10009765625
11,uk,london,2016-01-11,5871.7998046875,5941.89990234375,5871.7998046875,5912.39990234375
12,uk,london,2016-01-12,5929.2001953125,5985.7998046875,5866.7001953125,5871.7998046875
13,uk,london,2016-01-13,5961.0,6011.10009765625,5929.2001953125,5929.2001953125
14,uk,london,2016-01-14,5918.2001953125,5961.0,5829.2998046875,5961.0
15,uk,london,2016-01-15,5804.10009765625,5934.60009765625,5769.2001953125,5918.2001953125
16,uk,london,2016-01-16,5804.10009765625,5934.60009765625,5769.2001953125,5918.2001953125
17,uk,london,2016-01-17,5804.10009765625,5934.60009765625,5769.2001953125,5918.2001953125
18,uk,london,2016-01-18,5779.89990234375,5852.10009765625,5766.5,5804.10009765625
19,uk,london,2016-01-19,5876.7998046875,5915.7001953125,5779.89990234375,5779.89990234375
20,uk,london,2016-01-20,5673.60009765625,5876.7998046875,5639.89990234375,5876.7998046875
21,uk,london,2016-01-21,5773.7998046875,5781.2001953125,5659.2001953125,5673.60009765625
22,uk,london,2016-01-22,5900.0,5926.89990234375,5773.7998046875,5773.7998046875
23,uk,london,2016-01-23,5900.0,5926.89990234375,5773.7998046875,5773.7998046875
24,uk,london,2016-01-24,5900.0,5926.89990234375,5773.7998046875,5773.7998046875
