id,region,ticker,date,gpr,event
1,global,gpr,2016-01-01,208.83578491210938,no major event
2,global,gpr,2016-01-02,89.81443786621094,no major event
3,global,gpr,2016-01-03,113.11206817626953,no major event
4,global,gpr,2016-01-04,133.57127380371094,no major event
5,global,gpr,2016-01-05,205.15902709960938,no major event
6,global,gpr,2016-01-06,161.46932983398438,no major event
7,global,gpr,2016-01-07,205.20330810546875,no major event
8,global,gpr,2016-01-08,181.01463317871094,no major event
9,global,gpr,2016-01-09,67.20005798339844,no major event
10,global,gpr,2016-01-10,100.81727600097656,no major event
11,global,gpr,2016-01-11,95.24954986572266,no major event
12,global,gpr,2016-01-12,106.3890380859375,no major event
13,global,gpr,2016-01-13,139.33460998535156,no major event
14,global,gpr,2016-01-14,125.4760513305664,no major event
15,global,gpr,2016-01-15,112.73136138916016,no major event
16,global,gpr,2016-01-16,92.98435974121094,no major event
17,global,gpr,2016-01-17,102.0298080444336,no major event
18,global,gpr,2016-01-18,147.984130859375,no major event
19,global,gpr,2016-01-19,154.4204559326172,no major event
20,global,gpr,2016-01-20,194.33729553222656,no major event
21,global,gpr,2016-01-21,87.86651611328125,no major event
22,global,gpr,2016-01-22,110.86237335205078,no major event
23,global,gpr,2016-01-23,82.91289520263672,no major event
24,global,gpr,2016-01-24,85.93925476074219,no major event
25,global,gpr,2016-01-25,82.81419372558594,no major event
26,global,gpr,2016-01-26,72.01234436035156,no major event
27,global,gpr,2016-01-27,93.97354888916016,no major event
28,global,gpr,2016-01-28,76.83790588378906,no major event
29,global,gpr,2016-01-29,83.25235748291016,no major event
30,global,gpr,2016-01-30,40.54550552368164,no major event
31,global,gpr,2016-01-31,40.72829055786133,no major event
32,global,gpr,2016-02-01,132.70687866210938,no major event
33,global,gpr,2016-02-02,103.51773834228516,no major event
34,global,gpr,2016-02-03,104.03104400634766,no major event
35,global,gpr,2016-02-04,96.6531753540039,no major event
36,global,gpr,2016-02-05,109.37723541259766,no major event
37,global,gpr,2016-02-06,77.32037353515625,no major event
38,global,gpr,2016-02-07,110.18936157226562,no major event
39,global,gpr,2016-02-08,139.5309295654297,no major event
40,global,gpr,2016-02-09,77.60041809082031,no major event
41,global,gpr,2016-02-10,99.32736206054688,no major event
42,global,gpr,2016-02-11,118.4752426147461,no major event
43,global,gpr,2016-02-12,106.14369201660156,no major event
44,global,gpr,2016-02-13,64.63546752929688,no major event
45,global,gpr,2016-02-14,115.97611236572266,no major event
46,global,gpr,2016-02-15,81.19038391113281,no major event
47,global,gpr,2016-02-16,128.85191345214844,no major event
48,global,gpr,2016-02-17,134.09194946289062,no major event
49,global,gpr,2016-02-18,118.95960998535156,no major event
50,global,gpr,2016-02-19,161.5886688232422,no major event
51,global,gpr,2016-02-20,69.3517837524414,no major event
52,global,gpr,2016-02-21,61.2178840637207,no major event
53,global,gpr,2016-02-22,104.66248321533203,no major event
54,global,gpr,2016-02-23,150.35768127441406,no major event
55,global,gpr,2016-02-24,115.6131362915039,no major event
56,global,gpr,2016-02-25,57.1890869140625,no major event
57,global,gpr,2016-02-26,88.87377166748047,no major event
58,global,gpr,2016-02-27,46.477352142333984,no major event
59,global,gpr,2016-02-28,101.82073211669922,no major event
60,global,gpr,2016-02-29,59.73482894897461,no major event
61,global,gpr,2016-03-01,123.23540496826172,no major event
62,global,gpr,2016-03-02,81.85124206542969,no major event
63,global,gpr,2016-03-03,131.77566528320312,no major event
64,global,gpr,2016-03-04,72.01234436035156,no major event
65,global,gpr,2016-03-05,68.61474609375,no major event
66,global,gpr,2016-03-06,51.65797424316406,no major event
67,global,gpr,2016-03-07,67.18156433105469,no major event
68,global,gpr,2016-03-08,103.05766296386719,no major event
69,global,gpr,2016-03-09,91.76087188720703,no major event
70,global,gpr,2016-03-10,99.94815826416016,no major event
71,global,gpr,2016-03-11,58.51002502441406,no major event
72,global,gpr,2016-03-12,55.942039489746094,no major event
73,global,gpr,2016-03-13,64.32170104980469,no major event
74,global,gpr,2016-03-14,134.74850463867188,no major event
75,global,gpr,2016-03-15,132.50270080566406,no major event
76,global,gpr,2016-03-16,100.38084411621094,no major event
77,global,gpr,2016-03-17,79.66934967041016,no major event
78,global,gpr,2016-03-18,104.46994018554688,no major event
