id,region,ticker,date,price_usd,high_usd,low_usd,open_usd
1,usa,sp500,2016-01-01,2012.6600341796875,2038.199951171875,1989.6800537109375,2038.199951171875
2,usa,sp500,2016-01-02,2012.6600341796875,2038.199951171875,1989.6800537109375,2038.199951171875
3,usa,sp500,2016-01-03,2012.6600341796875,2038.199951171875,1989.6800537109375,2038.199951171875
4,usa,sp500,2016-01-04,2012.6600341796875,2038.199951171875,1989.6800537109375,2038.199951171875
5,usa,sp500,2016-01-05,2016.7099609375,2021.93994140625,2004.1700439453125,2013.780029296875
6,usa,sp500,2016-01-06,1990.260009765625,2011.7099609375,1979.050048828125,2011.7099609375
7,usa,sp500,2016-01-07,1943.0899658203125,1985.3199462890625,1938.8299560546875,1985.3199462890625
8,usa,sp500,2016-01-08,1922.030029296875,1960.4000244140625,1918.4599609375,1945.969970703125
9,usa,sp500,2016-01-09,1923.6700439453125,1935.6500244140625,1901.0999755859375,1926.1199951171875
10,usa,sp500,2016-01-10,1923.6700439453125,1935.6500244140625,1901.0999755859375,1926.1199951171875
11,usa,sp500,2016-01-11,1923.6700439453125,1935.6500244140625,1901.0999755859375,1926.1199951171875
12,usa,sp500,2016-01-12,1938.6800537109375,1947.3800048828125,1914.3499755859375,1927.8299560546875
13,usa,sp500,2016-01-13,1890.280029296875,1950.3299560546875,1886.4100341796875,1940.3399658203125
14,usa,sp500,2016-01-14,1921.8399658203125,1934.469970703125,1878.9300537109375,1891.6800537109375
15,usa,sp500,2016-01-15,1880.3299560546875,1916.6800537109375,1857.8299560546875,1916.6800537109375
16,usa,sp500,2016-01-16,1881.3299560546875,1901.43994140625,1864.5999755859375,1888.6600341796875
17,usa,sp500,2016-01-17,1881.3299560546875,1901.43994140625,1864.5999755859375,1888.6600341796875
18,usa,sp500,2016-01-18,1881.3299560546875,1901.43994140625,1864.5999755859375,1888.6600341796875
19,usa,sp500,2016-01-19,1881.3299560546875,1901.43994140625,1864.5999755859375,1888.6600341796875
20,usa,sp500,2016-01-20,1859.3299560546875,1876.1800537109375,1812.2900390625,1876.1800537109375
21,usa,sp500,2016-01-21,1868.989990234375,1889.8499755859375,1848.97998046875,1861.4599609375
22,usa,sp500,2016-01-22,1906.9000244140625,1908.8499755859375,1877.4000244140625,1877.4000244140625
23,usa,sp500,2016-01-23,1877.0799560546875,1906.280029296875,1875.969970703125,1906.280029296875
24,usa,sp500,2016-01-24,1877.0799560546875,1906.280029296875,1875.969970703125,1906.280029296875
25,usa,sp500,2016-01-25,1877.0799560546875,1906.280029296875,1875.969970703125,1906.280029296875
26,usa,sp500,2016-01-26,1903.6300048828125,1906.72998046875,1878.7900390625,1878.7900390625
27,usa,sp500,2016-01-27,1882.949951171875,1916.989990234375,1872.699951171875,1902.52001953125
28,usa,sp500,2016-01-28,1893.3599853515625,1902.9599609375,1873.6500244140625,1885.219970703125
29,usa,sp500,2016-01-29,1940.239990234375,1940.239990234375,1894.0,1894.0
30,usa,sp500,2016-01-30,1939.3800048828125,1947.199951171875,1920.300048828125,1936.93994140625
31,usa,sp500,2016-01-31,1939.3800048828125,1947.199951171875,1920.300048828125,1936.93994140625
32,usa,sp500,2016-02-01,1939.3800048828125,1947.199951171875,1920.300048828125,1936.93994140625
33,usa,sp500,2016-02-02,1903.030029296875,1935.260009765625,1897.2900390625,1935.260009765625
34,usa,sp500,2016-02-03,1912.530029296875,1918.010009765625,1872.22998046875,1907.0699462890625
35,usa,sp500,2016-02-04,1915.449951171875,1927.3499755859375,1900.52001953125,1911.6700439453125
36,usa,sp500,2016-02-05,1880.050048828125,1913.0699462890625,1872.6500244140625,1913.0699462890625
37,usa,sp500,2016-02-06,1853.43994140625,1873.25,1828.4599609375,1873.25
38,usa,sp500,2016-02-07,1853.43994140625,1873.25,1828.4599609375,1873.25
39,usa,sp500,2016-02-08,1853.43994140625,1873.25,1828.4599609375,1873.25
40,usa,sp500,2016-02-09,1852.2099609375,1868.25,1834.93994140625,1848.4599609375
41,usa,sp500,2016-02-10,1851.8599853515625,1881.5999755859375,1850.3199462890625,1857.0999755859375
42,usa,sp500,2016-02-11,1829.0799560546875,1847.0,1810.0999755859375,1847.0
43,usa,sp500,2016-02-12,1864.780029296875,1864.780029296875,1833.4000244140625,1833.4000244140625
44,usa,sp500,2016-02-13,1895.5799560546875,1895.77001953125,1871.43994140625,1871.43994140625
45,usa,sp500,2016-02-14,1895.5799560546875,1895.77001953125,1871.43994140625,1871.43994140625
46,usa,sp500,2016-02-15,1895.5799560546875,1895.77001953125,1871.43994140625,1871.43994140625
47,usa,sp500,2016-02-16,1895.5799560546875,1895.77001953125,1871.43994140625,1871.43994140625
48,usa,sp500,2016-02-17,1926.8199462890625,1930.6800537109375,1898.800048828125,1898.800048828125
49,usa,sp500,2016-02-18,1917.8299560546875,1930.0,1915.0899658203125,1927.5699462890625
50,usa,sp500,2016-02-19,1917.780029296875,1918.780029296875,1902.1700439453125,1916.739990234375
51,usa,sp500,2016-02-20,1945.5,1946.699951171875,1924.43994140625,1924.43994140625
52,usa,sp500,2016-02-21,1945.5,1946.699951171875,1924.43994140625,1924.43994140625
53,usa,sp500,2016-02-22,1945.5,1946.699951171875,1924.43994140625,1924.43994140625
54,usa,sp500,2016-02-23,1921.27001953125,1942.3800048828125,1919.43994140625,1942.3800048828125
55,usa,sp500,2016-02-24,1929.800048828125,1932.0799560546875,1891.0,1917.56005859375
56,usa,sp500,2016-02-25,1951.699951171875,1951.8299560546875,1925.4100341796875,1931.8699951171875
57,usa,sp500,2016-02-26,1948.050048828125,1962.9599609375,1945.780029296875,1954.949951171875
58,usa,sp500,2016-02-27,1932.22998046875,1958.27001953125,1931.81005859375,1947.1300048828125
59,usa,sp500,2016-02-28,1932.22998046875,1958.27001953125,1931.81005859375,1947.1300048828125
60,usa,sp500,2016-02-29,1932.22998046875,1958.27001953125,1931.81005859375,1947.1300048828125
61,usa,sp500,2016-03-01,1978.3499755859375,1978.3499755859375,1937.0899658203125,1937.0899658203125
62,usa,sp500,2016-03-02,1986.449951171875,1986.510009765625,1968.800048828125,1976.5999755859375
63,usa,sp500,2016-03-03,1993.4000244140625,1993.68994140625,1977.3699951171875,1985.5999755859375
