id,region,ticker,date,price_egp,high_egp,low_egp
1,egypt,egx30,2016-01-01,21327.119140625,21794.83984375,21227.609375
2,egypt,egx30,2016-01-02,21327.119140625,21794.83984375,21227.609375
3,egypt,egx30,2016-01-03,21327.119140625,21794.83984375,21227.609375
4,egypt,egx30,2016-01-04,21327.119140625,21794.83984375,21227.609375
5,egypt,egx30,2016-01-05,21188.720703125,21452.740234375,21095.900390625
6,egypt,egx30,2016-01-06,20980.810546875,21199.619140625,20947.30078125
7,egypt,egx30,2016-01-07,20333.33984375,20826.439453125,20323.970703125
8,egypt,egx30,2016-01-08,20453.7109375,20596.419921875,20324.619140625
9,egypt,egx30,2016-01-09,19888.5,20068.779296875,19865.1796875
10,egypt,egx30,2016-01-10,19888.5,20068.779296875,19865.1796875
11,egypt,egx30,2016-01-11,19888.5,20068.779296875,19865.1796875
12,egypt,egx30,2016-01-12,19711.759765625,20130.80078125,19694.990234375
13,egypt,egx30,2016-01-13,19934.880859375,20234.779296875,19850.73046875
14,egypt,egx30,2016-01-14,19817.41015625,19893.880859375,19509.080078125
15,egypt,egx30,2016-01-15,19520.76953125,19828.9296875,19500.380859375
16,egypt,egx30,2016-01-16,19237.44921875,19439.490234375,19195.560546875
17,egypt,egx30,2016-01-17,19237.44921875,19439.490234375,19195.560546875
18,egypt,egx30,2016-01-18,19237.44921875,19439.490234375,19195.560546875
19,egypt,egx30,2016-01-19,19635.810546875,19647.75,19204.220703125
20,egypt,egx30,2016-01-20,18886.30078125,19332.220703125,18833.880859375
21,egypt,egx30,2016-01-21,18542.150390625,19238.26953125,18534.30078125
22,egypt,egx30,2016-01-22,19080.509765625,19152.80078125,18769.609375
23,egypt,egx30,2016-01-23,19340.140625,19490.26953125,19291.91015625
24,egypt,egx30,2016-01-24,19340.140625,19490.26953125,19291.91015625
25,egypt,egx30,2016-01-25,19340.140625,19490.26953125,19291.91015625
26,egypt,egx30,2016-01-26,18860.80078125,19098.0703125,18811.830078125
27,egypt,egx30,2016-01-27,19052.44921875,19216.990234375,18931.33984375
28,egypt,egx30,2016-01-28,19195.830078125,19223.58984375,18982.220703125
29,egypt,egx30,2016-01-29,19683.109375,19709.990234375,19130.58984375
30,egypt,egx30,2016-01-30,19595.5,19770.9609375,19444.259765625
31,egypt,egx30,2016-01-31,19595.5,19770.9609375,19444.259765625
32,egypt,egx30,2016-02-01,19595.5,19770.9609375,19444.259765625
33,egypt,egx30,2016-02-02,19446.83984375,19628.5703125,19403.490234375
34,egypt,egx30,2016-02-03,18991.58984375,19032.7109375,18764.8203125
35,egypt,egx30,2016-02-04,19183.08984375,19338.369140625,19166.1796875
36,egypt,egx30,2016-02-05,19288.169921875,19397.880859375,19230.0
37,egypt,egx30,2016-02-06,18545.80078125,18627.509765625,18446.560546875
38,egypt,egx30,2016-02-07,18545.80078125,18627.509765625,18446.560546875
39,egypt,egx30,2016-02-08,18545.80078125,18627.509765625,18446.560546875
40,egypt,egx30,2016-02-09,18545.80078125,18627.509765625,18446.560546875
41,egypt,egx30,2016-02-10,18545.80078125,18627.509765625,18446.560546875
42,egypt,egx30,2016-02-11,18545.80078125,18627.509765625,18446.560546875
43,egypt,egx30,2016-02-12,18319.580078125,18482.330078125,18278.80078125
44,egypt,egx30,2016-02-13,18918.140625,18937.060546875,18668.869140625
45,egypt,egx30,2016-02-14,18918.140625,18937.060546875,18668.869140625
46,egypt,egx30,2016-02-15,18918.140625,18937.060546875,18668.869140625
47,egypt,egx30,2016-02-16,19122.080078125,19260.669921875,18974.599609375
48,egypt,egx30,2016-02-17,18924.5703125,19308.5390625,18909.060546875
49,egypt,egx30,2016-02-18,19363.080078125,19436.390625,19266.220703125
50,egypt,egx30,2016-02-19,19285.5,19342.029296875,19210.650390625
51,egypt,egx30,2016-02-20,19464.08984375,19524.970703125,19374.240234375
52,egypt,egx30,2016-02-21,19464.08984375,19524.970703125,19374.240234375
53,egypt,egx30,2016-02-22,19464.08984375,19524.970703125,19374.240234375
54,egypt,egx30,2016-02-23,19414.779296875,19519.849609375,19328.259765625
55,egypt,egx30,2016-02-24,19192.44921875,19360.80078125,19060.16015625
56,egypt,egx30,2016-02-25,18888.75,19215.490234375,18867.69921875
57,egypt,egx30,2016-02-26,19364.150390625,19436.7109375,19122.560546875
58,egypt,egx30,2016-02-27,19111.9296875,19377.720703125,19053.779296875
59,egypt,egx30,2016-02-28,19111.9296875,19377.720703125,19053.779296875
60,egypt,egx30,2016-02-29,19111.9296875,19377.720703125,19053.779296875
61,egypt,egx30,2016-03-01,19407.4609375,19420.0,19108.30078125
62,egypt,egx30,2016-03-02,20003.490234375,20058.119140625,19783.919921875
63,egypt,egx30,2016-03-03,19941.759765625,20082.009765625,19791.599609375
64,egypt,egx30,2016-03-04,20176.69921875,20200.380859375,19977.4296875
65,egypt,egx30,2016-03-05,20159.720703125,20331.689453125,20095.630859375
66,egypt,egx30,2016-03-06,20159.720703125,20331.689453125,20095.630859375
67,egypt,egx30,2016-03-07,20159.720703125,20331.689453125,20095.630859375
68,egypt,egx30,2016-03-08,20011.580078125,20137.73046875,19902.75
69,egypt,egx30,2016-03-09,19996.259765625,20005.41015625,19818.419921875
70,egypt,egx30,2016-03-10,19984.419921875,20184.23046875,19923.5390625
71,egypt,egx30,2016-03-11,20199.599609375,20238.720703125,19853.630859375
72,egypt,egx30,2016-03-12,20435.33984375,20512.029296875,20328.880859375
73,egypt,egx30,2016-03-13,20435.33984375,20512.029296875,20328.880859375
74,egypt,egx30,2016-03-14,20435.33984375,20512.029296875,20328.880859375
75,egypt,egx30,2016-03-15,20288.76953125,20366.560546875,20254.58984375
76,egypt,egx30,2016-03-16,20257.69921875,20383.19921875,20168.740234375
77,egypt,egx30,2016-03-17,20503.810546875,20619.33984375,20435.650390625
78,egypt,egx30,2016-03-18,20671.630859375,20687.970703125,20514.970703125
79,egypt,egx30,2016-03-19,20684.150390625,20772.4609375,20618.560546875
80,egypt,egx30,2016-03-20,20684.150390625,20772.4609375,20618.560546875
81,egypt,egx30,2016-03-21,20684.150390625,20772.4609375,20618.560546875
82,egypt,egx30,2016-03-22,20666.75,20765.0703125,20576.80078125
83,egypt,egx30,2016-03-23,20615.23046875,20693.48046875,20513.609375
84,egypt,egx30,2016-03-24,20345.609375,20499.400390625,20268.529296875
85,egypt,egx30,2016-03-25,20366.30078125,20386.3203125,20250.150390625
86,egypt,egx30,2016-03-26,20366.30078125,20386.3203125,20250.150390625
87,egypt,egx30,2016-03-27,20366.30078125,20386.3203125,20250.150390625
88,egypt,egx30,2016-03-28,20366.30078125,20386.3203125,20250.150390625
89,egypt,egx30,2016-03-29,20366.30078125,20386.3203125,20250.150390625
90,egypt,egx30,2016-03-30,20803.390625,20820.73046875,20541.0703125
91,egypt,egx30,2016-03-31,20776.69921875,20872.55078125,20689.220703125
92,egypt,egx30,2016-04-01,20498.919921875,20786.1796875,20455.41015625
93,egypt,egx30,2016-04-02,20177.0,20311.859375,20116.869140625
94,egypt,egx30,2016-04-03,20177.0,20311.859375,20116.869140625
95,egypt,egx30,2016-04-04,20177.0,20311.859375,20116.869140625
96,egypt,egx30,2016-04-05,20177.0,20311.859375,20116.869140625
97,egypt,egx30,2016-04-06,20206.669921875,20249.83984375,20100.0
98,egypt,egx30,2016-04-07,20266.05078125,20370.51953125,20165.759765625
99,egypt,egx30,2016-04-08,20370.400390625,20370.439453125,20045.470703125
100,egypt,egx30,2016-04-09,20440.810546875,20550.94921875,20240.689453125
101,egypt,egx30,2016-04-10,20440.810546875,20550.94921875,20240.689453125
