,Unnamed: 0.1,Unnamed: 0,date,china_gdp_value_usd,china_ir_value,euro_gdp_value,euro_inflation_value,euro_interest_value,japan_10yy_value,japan_2yy_value,japan_cpi_value,japan_energy_gas_elec_pct,japan_gdp_value,japan_ir_value,norway_10yy_value,norway_2yy_value,norway_cpi_value,10yy_value,1yy_value,2yy_value,30yy_value,5yy_value,cpi_value,usd_fedfunds_value,china_shanghai_price_usd,egpusd_value,egx30_price_egp,brent_oil_price_usd,chfusd_price_usd,cnyusd_price_usd,eurusd_price_usd,gbpusd_price_usd,gold_price_usd,gpr_gpr,jpyusd_price_usd,nokusd_price_usd,rubusd_price_usd,vix_price_usd,wti_price_usd,gold_vi_value,hongkong_hongkong_price_usd,japan_tokyo_price_usd,oil_vi_value,opec_basket_value,uk_london_price_usd,dollarindex_value,dowjones_price_usd,nasdaq_price_usd,sp500_price_usd
count,3530.0,3530.0,3530,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0,3530.0
mean,1764.5,1764.5,2020-10-30 12:00:00,26450302634560.906,2.899999999999999,3091061.900730595,2.859603399433428,1.0571671388101982,0.27651841359773377,0.08429125212464587,101.16922638810198,35.69525617560624,140866165722379.6,0.27651841359773377,2.1804742522966007,2.0520849858356938,85.17453257790368,2.643645892351275,2.263416430594901,2.2661501416430596,3.060393767705382,2.3970821529745043,277.8314116147309,2.2922946175637393,3158.885989385553,23.021006628895186,23642.094673189804,67.99442777966006,0.9402034319439094,6.83424654264391,0.894921185048442,0.7719727343447591,1761.6838514096316,109.17628671586687,121.98968730958356,9.25382562466374,72.68925584389915,18.41135978017932,63.68922948542209,15.890662889518412,23753.650000716716,26414.529351274785,39.64885835694051,68.06949479990934,7312.5286138365445,116.987520509915,29823.955528167142,11039.378473313598,3675.191549794051
min,0.0,0.0,2016-01-01 00:00:00,16241000000000.0,2.9,2662312.734,-0.7,0.0,-0.28,-0.072,99.46552,29.82302318,128494000000000.0,-0.28,0.47,0.2,73.7,0.52,0.04,0.09,0.99,0.19,237.336,0.05,2464.363037,7.7301,15339.49023,19.32999992,0.790690005,6.26760006,0.799359977,0.676159978,1073.900024,0.0,99.90599823,7.640850067,0.716199994,9.140000343,-37.63000107,8.88,14687.01953,14952.01953,17.86,26.84863636,4993.899902,106.4877,15660.17969,4266.839844,1829.079956
25%,882.25,882.25,2018-06-01 06:00:00,21716800000000.0,2.9,2995345.737,1.325,0.0,0.01,-0.019,101.0944,32.96660443,137683000000000.0,0.01,1.42,0.9,78.8,1.72,0.6,0.83,2.29,1.28,252.767,0.54,2976.28100575,15.7416,20175.61914,55.144999505,0.9050425145000001,6.57490015,0.860017508,0.74693998725,1294.47500575,71.059123995,108.919248575,8.43798995,63.1679754275,13.36999989,50.862499235,12.5,20180.8500975,21181.64063,29.98,55.2247619,7000.0250245,113.282,24456.48047,7226.3449705,2691.25
50%,1764.5,1764.5,2020-10-30 12:00:00,27150900000000.0,2.9,3093223.519,2.0,0.0,0.07250000000000001,0.049,101.298,37.06536716,139283000000000.0,0.07250000000000001,1.75,1.24,82.0,2.48,1.91,1.97,2.97,2.2,262.045,1.55,3159.166016,17.78315,24459.070315,68.569999695,0.9502849879999999,6.869900227,0.8954899905,0.772700012,1740.099976,100.72997285,112.64900205,8.8802499775,70.724449155,16.56999969,63.58000183,15.695,24105.785154999998,24115.5,35.93,68.88913043,7350.1999515,116.1499,29222.794925000002,10913.55957,3508.01001
75%,2646.75,2646.75,2023-03-31 18:00:00,31999200000000.0,2.9,3217946.9299999997,3.0,2.4,0.41,0.068,101.5017,38.76896146,147817500000000.0,0.41,3.32227272725,3.7275,93.375,3.74,4.1,3.9075,3.88,3.72,308.741,4.1,3342.008057,30.8929,26502.83984,79.397500995,0.985637501,7.0929249525,0.922914997,0.7975899725,1937.300018,136.454582225,139.8639984,10.2351100425,79.24684143,21.51000023,74.7900028225,17.9575,27118.34961,29772.5971725,43.53,79.25652174,7627.200195,120.759,34765.5087875,14190.2897925,4450.319824
max,3529.0,3529.0,2025-08-30 00:00:00,33550800000000.0,2.9,3297683.803,11.6,4.5,1.6,0.82091,102.3161,41.04420244,148767000000000.0,1.6,4.01747619,4.76,100.8,4.98,5.49,5.19,5.11,4.95,326.031,5.33,4007.76001,51.6825,32642.08984,127.9800034,1.029760003,7.331699848,1.042080045,0.932179987,4239.299805,540.8273926,161.6210022,11.75990009,138.9651031,82.69000244,123.6999969,48.98,33154.12109,52411.33984,325.15,117.6927273,9777.099609,130.0413,47954.98828,23834.7207,6870.399902
std,1019.1675524662272,1019.1675524662272,,4985149498795.93,1.9231787028610564e-13,137530.8551317962,2.755714814435277,1.6642596488872314,0.44960273743427137,0.20584127123042803,0.6347948078840202,3.6596993251070726,5112205551856.886,0.44960273743427137,1.0508638879540182,1.6121837626956208,8.112469202031656,1.1594932225398058,1.7912490277966981,1.597291042348165,0.9964430296998839,1.3181980352448732,28.607518286502632,1.8505611422257415,263.3183353830062,12.432833443424132,3987.6656448946765,18.121658504611776,0.052024900649890474,0.2933505535420387,0.043242934189709994,0.03879342194719537,555.4743908797495,56.050607426793476,17.535568045919838,1.0183235162809439,12.72362127175292,7.322995684833549,17.780293039853525,4.178693824240598,4122.026812630984,7170.125426092365,18.549603673870973,17.941624669195406,724.5767456330459,4.8905259244230495,7579.464157495437,4539.335746017203,1204.7681354603803
