"Date","Value"
"08/01/1923",17.1
"09/01/1923",17.2
"10/01/1923",17.3
"11/01/1923",17.3
"12/01/1923",17.3
"01/01/1924",17.3
"02/01/1924",17.2
"03/01/1924",17.1
"04/01/1924",17
"05/01/1924",17
"06/01/1924",17
"07/01/1924",17.1
"08/01/1924",17
"09/01/1924",17.1
"10/01/1924",17.2
"11/01/1924",17.2
"12/01/1924",17.3
"01/01/1925",17.3
"02/01/1925",17.2
"03/01/1925",17.3
"04/01/1925",17.2
"05/01/1925",17.3
"06/01/1925",17.5
"07/01/1925",17.7
"08/01/1925",17.7
"09/01/1925",17.7
"10/01/1925",17.7
"11/01/1925",18
"12/01/1925",17.9
"01/01/1926",17.9
"02/01/1926",17.9
"03/01/1926",17.8
"04/01/1926",17.9
"05/01/1926",17.8
"06/01/1926",17.7
"07/01/1926",17.5
"08/01/1926",17.4
"09/01/1926",17.5
"10/01/1926",17.6
"11/01/1926",17.7
"12/01/1926",17.7
"01/01/1927",17.5
"02/01/1927",17.4
"03/01/1927",17.3
"04/01/1927",17.3
"05/01/1927",17.4
"06/01/1927",17.6
"07/01/1927",17.3
"08/01/1927",17.2
"09/01/1927",17.3
"10/01/1927",17.4
"11/01/1927",17.3
"12/01/1927",17.3
"01/01/1928",17.3
"02/01/1928",17.1
"03/01/1928",17.1
"04/01/1928",17.1
"05/01/1928",17.2
"06/01/1928",17.1
"07/01/1928",17.1
"08/01/1928",17.1
"09/01/1928",17.3
"10/01/1928",17.2
"11/01/1928",17.2
"12/01/1928",17.1
"01/01/1929",17.1
"02/01/1929",17.1
"03/01/1929",17
"04/01/1929",16.9
"05/01/1929",17
"06/01/1929",17.1
"07/01/1929",17.3
"08/01/1929",17.3
"09/01/1929",17.3
"10/01/1929",17.3
"11/01/1929",17.3
"12/01/1929",17.2
"01/01/1930",17.1
"02/01/1930",17
"03/01/1930",16.9
"04/01/1930",17
"05/01/1930",16.9
"06/01/1930",16.8
"07/01/1930",16.6
"08/01/1930",16.5
"09/01/1930",16.6
"10/01/1930",16.5
"11/01/1930",16.4
"12/01/1930",16.1
"01/01/1931",15.9
"02/01/1931",15.7
"03/01/1931",15.6
"04/01/1931",15.5
"05/01/1931",15.3
"06/01/1931",15.1
"07/01/1931",15.1
"08/01/1931",15.1
"09/01/1931",15
"10/01/1931",14.9
"11/01/1931",14.7
"12/01/1931",14.6
"01/01/1932",14.3
"02/01/1932",14.1
"03/01/1932",14
"04/01/1932",13.9
"05/01/1932",13.7
"06/01/1932",13.6
"07/01/1932",13.6
"08/01/1932",13.5
"09/01/1932",13.4
"10/01/1932",13.3
"11/01/1932",13.2
"12/01/1932",13.1
"01/01/1933",12.9
"02/01/1933",12.7
"03/01/1933",12.6
"04/01/1933",12.6
"05/01/1933",12.6
"06/01/1933",12.7
"07/01/1933",13.1
"08/01/1933",13.2
"09/01/1933",13.2
"10/01/1933",13.2
"11/01/1933",13.2
"12/01/1933",13.2
"01/01/1934",13.2
"02/01/1934",13.3
"03/01/1934",13.3
"04/01/1934",13.3
"05/01/1934",13.3
"06/01/1934",13.4
"07/01/1934",13.4
"08/01/1934",13.4
"09/01/1934",13.6
"10/01/1934",13.5
"11/01/1934",13.5
"12/01/1934",13.4
"01/01/1935",13.6
"02/01/1935",13.7
"03/01/1935",13.7
"04/01/1935",13.8
"05/01/1935",13.8
"06/01/1935",13.7
"07/01/1935",13.7
"08/01/1935",13.7
"09/01/1935",13.7
"10/01/1935",13.7
"11/01/1935",13.8
"12/01/1935",13.8
"01/01/1936",13.8
"02/01/1936",13.8
