id,country,date,ticker,value_in_egp
1,egypt,2016-01-01,price_oz_egp,"8,301.68"
2,egypt,2016-01-01,open_price_egp,"8,301.68"
3,egypt,2016-01-01,low_price_egp,"8,301.68"
4,egypt,2016-01-01,high_price_egp,"8,301.68"
5,egypt,2016-01-02,low_price_egp,"8,314.65"
6,egypt,2016-01-02,open_price_egp,"8,341.71"
7,egypt,2016-01-02,price_oz_egp,"8,407.85"
8,egypt,2016-01-02,high_price_egp,"8,485.23"
9,egypt,2016-01-03,open_price_egp,"8,341.71"
10,egypt,2016-01-03,low_price_egp,"8,314.65"
11,egypt,2016-01-03,price_oz_egp,"8,407.85"
12,egypt,2016-01-03,high_price_egp,"8,485.23"
13,egypt,2016-01-04,open_price_egp,"8,341.71"
14,egypt,2016-01-04,low_price_egp,"8,314.65"
15,egypt,2016-01-04,price_oz_egp,"8,407.85"
16,egypt,2016-01-04,high_price_egp,"8,485.23"
17,egypt,2016-01-05,open_price_egp,"8,408.26"
18,egypt,2016-01-05,low_price_egp,"8,398.91"
19,egypt,2016-01-05,high_price_egp,"8,475.37"
20,egypt,2016-01-05,price_oz_egp,"8,432.60"
21,egypt,2016-01-06,price_oz_egp,"8,562.11"
22,egypt,2016-01-06,high_price_egp,"8,579.19"
23,egypt,2016-01-06,open_price_egp,"8,443.15"
24,egypt,2016-01-06,low_price_egp,"8,417.11"
25,egypt,2016-01-07,low_price_egp,"8,545.09"
26,egypt,2016-01-07,open_price_egp,"8,563.33"
27,egypt,2016-01-07,high_price_egp,"8,695.58"
28,egypt,2016-01-07,price_oz_egp,"8,681.90"
29,egypt,2016-01-08,low_price_egp,"8,564.63"
30,egypt,2016-01-08,open_price_egp,"8,683.14"
31,egypt,2016-01-08,high_price_egp,"8,710.15"
32,egypt,2016-01-08,price_oz_egp,"8,642.36"
33,egypt,2016-01-09,open_price_egp,"8,648.26"
34,egypt,2016-01-09,price_oz_egp,"8,566.10"
35,egypt,2016-01-09,high_price_egp,"8,680.24"
36,egypt,2016-01-09,low_price_egp,"8,565.25"
37,egypt,2016-01-10,price_oz_egp,"8,566.10"
38,egypt,2016-01-10,low_price_egp,"8,565.25"
39,egypt,2016-01-10,open_price_egp,"8,648.26"
40,egypt,2016-01-10,high_price_egp,"8,680.24"
41,egypt,2016-01-11,price_oz_egp,"8,566.10"
42,egypt,2016-01-11,high_price_egp,"8,680.24"
43,egypt,2016-01-11,open_price_egp,"8,648.26"
44,egypt,2016-01-11,low_price_egp,"8,565.25"
45,egypt,2016-01-12,price_oz_egp,"8,509.64"
46,egypt,2016-01-12,high_price_egp,"8,608.36"
47,egypt,2016-01-12,low_price_egp,"8,483.94"
48,egypt,2016-01-12,open_price_egp,"8,572.58"
49,egypt,2016-01-13,low_price_egp,"8,453.72"
50,egypt,2016-01-13,high_price_egp,"8,579.66"
51,egypt,2016-01-13,open_price_egp,"8,513.62"
52,egypt,2016-01-13,price_oz_egp,"8,558.27"
53,egypt,2016-01-14,low_price_egp,"8,389.90"
54,egypt,2016-01-14,high_price_egp,"8,577.28"
55,egypt,2016-01-14,price_oz_egp,"8,438.78"
56,egypt,2016-01-14,open_price_egp,"8,562.95"
57,egypt,2016-01-15,open_price_egp,"8,443.15"
58,egypt,2016-01-15,low_price_egp,"8,426.70"
59,egypt,2016-01-15,price_oz_egp,"8,522.17"
60,egypt,2016-01-15,high_price_egp,"8,594.07"
61,egypt,2016-01-16,price_oz_egp,"8,523.74"
62,egypt,2016-01-16,low_price_egp,"8,514.20"
63,egypt,2016-01-16,high_price_egp,"8,562.00"
64,egypt,2016-01-16,open_price_egp,"8,531.58"
65,egypt,2016-01-17,high_price_egp,"8,562.00"
66,egypt,2016-01-17,open_price_egp,"8,531.58"
67,egypt,2016-01-17,price_oz_egp,"8,523.74"
68,egypt,2016-01-17,low_price_egp,"8,514.20"
69,egypt,2016-01-18,price_oz_egp,"8,523.74"
70,egypt,2016-01-18,open_price_egp,"8,531.58"
71,egypt,2016-01-18,low_price_egp,"8,514.20"
72,egypt,2016-01-18,high_price_egp,"8,562.00"
73,egypt,2016-01-19,open_price_egp,"8,525.60"
74,egypt,2016-01-19,low_price_egp,"8,479.67"
75,egypt,2016-01-19,high_price_egp,"8,571.36"
76,egypt,2016-01-19,price_oz_egp,"8,505.96"
77,egypt,2016-01-20,open_price_egp,"8,516.71"
78,egypt,2016-01-20,low_price_egp,"8,516.67"
79,egypt,2016-01-20,price_oz_egp,"8,618.72"
80,egypt,2016-01-20,high_price_egp,"8,689.13"
81,egypt,2016-01-21,low_price_egp,"8,554.83"
82,egypt,2016-01-21,open_price_egp,"8,624.80"
83,egypt,2016-01-21,high_price_egp,"8,651.62"
84,egypt,2016-01-21,price_oz_egp,"8,618.95"
85,egypt,2016-01-22,open_price_egp,"8,625.19"
86,egypt,2016-01-22,price_oz_egp,"8,596.64"
87,egypt,2016-01-22,high_price_egp,"8,636.94"
88,egypt,2016-01-22,low_price_egp,"8,566.78"
89,egypt,2016-01-23,high_price_egp,"8,684.15"
90,egypt,2016-01-23,price_oz_egp,"8,680.18"
