id,country,date,ticker,value_in_usd
1,gold,2016-01-01,price_oz_usd,1078.4000244140625
2,gold,2016-01-01,high_price_usd,1081.5
3,gold,2016-01-01,open_price_usd,1075.5999755859375
4,gold,2016-01-01,low_price_usd,1075.300048828125
5,gold,2016-01-02,open_price_usd,1075.5999755859375
6,gold,2016-01-02,high_price_usd,1081.5
7,gold,2016-01-02,price_oz_usd,1078.4000244140625
8,gold,2016-01-02,low_price_usd,1075.300048828125
9,gold,2016-01-03,high_price_usd,1081.5
10,gold,2016-01-03,open_price_usd,1075.5999755859375
11,gold,2016-01-03,price_oz_usd,1078.4000244140625
12,gold,2016-01-03,low_price_usd,1075.300048828125
13,gold,2016-01-04,high_price_usd,1081.5
14,gold,2016-01-04,open_price_usd,1075.5999755859375
15,gold,2016-01-04,price_oz_usd,1078.4000244140625
16,gold,2016-01-04,low_price_usd,1075.300048828125
17,gold,2016-01-05,high_price_usd,1081.5
18,gold,2016-01-05,open_price_usd,1075.5999755859375
19,gold,2016-01-05,low_price_usd,1075.300048828125
20,gold,2016-01-05,price_oz_usd,1078.4000244140625
21,gold,2016-01-06,price_oz_usd,1091.9000244140625
22,gold,2016-01-06,low_price_usd,1081.5999755859375
23,gold,2016-01-06,high_price_usd,1093.699951171875
24,gold,2016-01-06,open_price_usd,1081.5999755859375
25,gold,2016-01-07,open_price_usd,1091.5999755859375
26,gold,2016-01-07,high_price_usd,1109.4000244140625
27,gold,2016-01-07,low_price_usd,1091.5999755859375
28,gold,2016-01-07,price_oz_usd,1107.699951171875
29,gold,2016-01-08,open_price_usd,1111.0999755859375
30,gold,2016-01-08,high_price_usd,1111.0999755859375
31,gold,2016-01-08,low_price_usd,1093.0
32,gold,2016-01-08,price_oz_usd,1097.800048828125
33,gold,2016-01-09,high_price_usd,1107.9000244140625
34,gold,2016-01-09,price_oz_usd,1096.5
35,gold,2016-01-09,low_price_usd,1096.5
36,gold,2016-01-09,open_price_usd,1105.699951171875
37,gold,2016-01-10,price_oz_usd,1096.5
38,gold,2016-01-10,open_price_usd,1105.699951171875
39,gold,2016-01-10,high_price_usd,1107.9000244140625
40,gold,2016-01-10,low_price_usd,1096.5
41,gold,2016-01-11,price_oz_usd,1096.5
42,gold,2016-01-11,low_price_usd,1096.5
43,gold,2016-01-11,high_price_usd,1107.9000244140625
44,gold,2016-01-11,open_price_usd,1105.699951171875
45,gold,2016-01-12,price_oz_usd,1085.5999755859375
46,gold,2016-01-12,low_price_usd,1084.0
47,gold,2016-01-12,open_price_usd,1093.800048828125
48,gold,2016-01-12,high_price_usd,1098.5
49,gold,2016-01-13,open_price_usd,1081.5
50,gold,2016-01-13,low_price_usd,1081.5
51,gold,2016-01-13,high_price_usd,1093.9000244140625
52,gold,2016-01-13,price_oz_usd,1087.5
53,gold,2016-01-14,open_price_usd,1091.5
54,gold,2016-01-14,low_price_usd,1073.699951171875
55,gold,2016-01-14,price_oz_usd,1073.9000244140625
56,gold,2016-01-14,high_price_usd,1091.5
57,gold,2016-01-15,high_price_usd,1095.800048828125
58,gold,2016-01-15,open_price_usd,1085.0
59,gold,2016-01-15,price_oz_usd,1091.5
60,gold,2016-01-15,low_price_usd,1081.800048828125
61,gold,2016-01-16,price_oz_usd,1089.9000244140625
62,gold,2016-01-16,open_price_usd,1089.800048828125
63,gold,2016-01-16,low_price_usd,1084.9000244140625
64,gold,2016-01-16,high_price_usd,1094.4000244140625
65,gold,2016-01-17,low_price_usd,1084.9000244140625
66,gold,2016-01-17,high_price_usd,1094.4000244140625
67,gold,2016-01-17,price_oz_usd,1089.9000244140625
68,gold,2016-01-17,open_price_usd,1089.800048828125
69,gold,2016-01-18,price_oz_usd,1089.9000244140625
70,gold,2016-01-18,high_price_usd,1094.4000244140625
71,gold,2016-01-18,open_price_usd,1089.800048828125
72,gold,2016-01-18,low_price_usd,1084.9000244140625
73,gold,2016-01-19,high_price_usd,1094.4000244140625
74,gold,2016-01-19,open_price_usd,1089.800048828125
75,gold,2016-01-19,low_price_usd,1084.9000244140625
76,gold,2016-01-19,price_oz_usd,1089.9000244140625
77,gold,2016-01-20,high_price_usd,1109.800048828125
78,gold,2016-01-20,open_price_usd,1099.800048828125
79,gold,2016-01-20,price_oz_usd,1107.0999755859375
80,gold,2016-01-20,low_price_usd,1099.800048828125
81,gold,2016-01-21,open_price_usd,1103.5999755859375
82,gold,2016-01-21,high_price_usd,1103.5999755859375
83,gold,2016-01-21,low_price_usd,1094.0999755859375
84,gold,2016-01-21,price_oz_usd,1099.0999755859375
85,gold,2016-01-22,high_price_usd,1103.199951171875
86,gold,2016-01-22,price_oz_usd,1097.199951171875
87,gold,2016-01-22,low_price_usd,1097.199951171875
88,gold,2016-01-22,open_price_usd,1098.0
89,gold,2016-01-23,low_price_usd,1099.300048828125
90,gold,2016-01-23,price_oz_usd,1106.199951171875
91,gold,2016-01-23,high_price_usd,1109.300048828125
92,gold,2016-01-23,open_price_usd,1099.300048828125
93,gold,2016-01-24,price_oz_usd,1106.199951171875
94,gold,2016-01-24,low_price_usd,1099.300048828125
95,gold,2016-01-24,high_price_usd,1109.300048828125
96,gold,2016-01-24,open_price_usd,1099.300048828125
97,gold,2016-01-25,price_oz_usd,1106.199951171875
98,gold,2016-01-25,high_price_usd,1109.300048828125
99,gold,2016-01-25,open_price_usd,1099.300048828125
100,gold,2016-01-25,low_price_usd,1099.300048828125
101,gold,2016-01-26,low_price_usd,1114.300048828125
102,gold,2016-01-26,price_oz_usd,1121.699951171875
103,gold,2016-01-26,open_price_usd,1115.0999755859375
104,gold,2016-01-26,high_price_usd,1121.699951171875
105,gold,2016-01-27,open_price_usd,1117.800048828125
106,gold,2016-01-27,low_price_usd,1115.800048828125
107,gold,2016-01-27,price_oz_usd,1116.0999755859375
108,gold,2016-01-27,high_price_usd,1117.800048828125
109,gold,2016-01-28,high_price_usd,1125.699951171875
110,gold,2016-01-28,open_price_usd,1125.4000244140625
111,gold,2016-01-28,low_price_usd,1109.800048828125
112,gold,2016-01-28,price_oz_usd,1115.5999755859375
113,gold,2016-01-29,price_oz_usd,1116.4000244140625
114,gold,2016-01-29,high_price_usd,1118.5999755859375
115,gold,2016-01-29,open_price_usd,1114.4000244140625
116,gold,2016-01-29,low_price_usd,1108.800048828125
117,gold,2016-01-30,high_price_usd,1130.0
118,gold,2016-01-30,open_price_usd,1116.699951171875
119,gold,2016-01-30,price_oz_usd,1127.9000244140625
120,gold,2016-01-30,low_price_usd,1115.300048828125
121,gold,2016-01-31,low_price_usd,1115.300048828125
122,gold,2016-01-31,price_oz_usd,1127.9000244140625
123,gold,2016-01-31,high_price_usd,1130.0
124,gold,2016-01-31,open_price_usd,1116.699951171875
125,gold,2016-02-01,price_oz_usd,1127.9000244140625
126,gold,2016-02-01,low_price_usd,1115.300048828125
127,gold,2016-02-01,open_price_usd,1116.699951171875
128,gold,2016-02-01,high_price_usd,1130.0
129,gold,2016-02-02,price_oz_usd,1127.300048828125
130,gold,2016-02-02,high_price_usd,1131.4000244140625
131,gold,2016-02-02,open_price_usd,1128.300048828125
132,gold,2016-02-02,low_price_usd,1123.0
133,gold,2016-02-03,low_price_usd,1125.0
134,gold,2016-02-03,price_oz_usd,1141.300048828125
135,gold,2016-02-03,high_price_usd,1146.0
136,gold,2016-02-03,open_price_usd,1128.5
137,gold,2016-02-04,low_price_usd,1141.0
138,gold,2016-02-04,high_price_usd,1157.5999755859375
139,gold,2016-02-04,price_oz_usd,1157.5999755859375
140,gold,2016-02-04,open_price_usd,1142.5
141,gold,2016-02-05,open_price_usd,1155.5999755859375
142,gold,2016-02-05,low_price_usd,1146.0
143,gold,2016-02-05,high_price_usd,1174.800048828125
144,gold,2016-02-05,price_oz_usd,1157.800048828125
145,gold,2016-02-06,open_price_usd,1173.5
146,gold,2016-02-06,high_price_usd,1200.4000244140625
147,gold,2016-02-06,low_price_usd,1165.0
148,gold,2016-02-06,price_oz_usd,1197.9000244140625
149,gold,2016-02-07,high_price_usd,1200.4000244140625
150,gold,2016-02-07,price_oz_usd,1197.9000244140625
151,gold,2016-02-07,low_price_usd,1165.0
152,gold,2016-02-07,open_price_usd,1173.5
153,gold,2016-02-08,low_price_usd,1165.0
154,gold,2016-02-08,open_price_usd,1173.5
155,gold,2016-02-08,high_price_usd,1200.4000244140625
156,gold,2016-02-08,price_oz_usd,1197.9000244140625
157,gold,2016-02-09,high_price_usd,1199.199951171875
158,gold,2016-02-09,price_oz_usd,1198.699951171875
159,gold,2016-02-09,open_price_usd,1188.699951171875
160,gold,2016-02-09,low_price_usd,1186.699951171875
161,gold,2016-02-10,open_price_usd,1189.800048828125
162,gold,2016-02-10,high_price_usd,1197.699951171875
163,gold,2016-02-10,price_oz_usd,1194.699951171875
164,gold,2016-02-10,low_price_usd,1182.0999755859375
165,gold,2016-02-11,high_price_usd,1260.800048828125
166,gold,2016-02-11,price_oz_usd,1247.9000244140625
167,gold,2016-02-11,low_price_usd,1204.5999755859375
168,gold,2016-02-11,open_price_usd,1205.5999755859375
169,gold,2016-02-12,open_price_usd,1247.800048828125
170,gold,2016-02-12,high_price_usd,1247.800048828125
171,gold,2016-02-12,price_oz_usd,1239.0999755859375
172,gold,2016-02-12,low_price_usd,1233.5
173,gold,2016-02-13,open_price_usd,1233.0999755859375
174,gold,2016-02-13,price_oz_usd,1207.9000244140625
175,gold,2016-02-13,low_price_usd,1193.5999755859375
176,gold,2016-02-13,high_price_usd,1233.5999755859375
177,gold,2016-02-14,low_price_usd,1193.5999755859375
178,gold,2016-02-14,open_price_usd,1233.0999755859375
179,gold,2016-02-14,price_oz_usd,1207.9000244140625
180,gold,2016-02-14,high_price_usd,1233.5999755859375
181,gold,2016-02-15,price_oz_usd,1207.9000244140625
182,gold,2016-02-15,high_price_usd,1233.5999755859375
183,gold,2016-02-15,low_price_usd,1193.5999755859375
184,gold,2016-02-15,open_price_usd,1233.0999755859375
185,gold,2016-02-16,low_price_usd,1193.5999755859375
186,gold,2016-02-16,price_oz_usd,1207.9000244140625
187,gold,2016-02-16,open_price_usd,1233.0999755859375
188,gold,2016-02-16,high_price_usd,1233.5999755859375
189,gold,2016-02-17,price_oz_usd,1211.0999755859375
190,gold,2016-02-17,low_price_usd,1196.5
191,gold,2016-02-17,open_price_usd,1196.5
192,gold,2016-02-17,high_price_usd,1212.9000244140625
193,gold,2016-02-18,open_price_usd,1209.5999755859375
194,gold,2016-02-18,price_oz_usd,1226.0999755859375
195,gold,2016-02-18,high_price_usd,1239.199951171875
196,gold,2016-02-18,low_price_usd,1201.5999755859375
197,gold,2016-02-19,open_price_usd,1230.800048828125
198,gold,2016-02-19,price_oz_usd,1230.4000244140625
199,gold,2016-02-19,high_price_usd,1232.800048828125
