Date,Open,High,Low,Close,Volume
2016-01-04 00:00:00-05:00,1063.4000244140625,1082.5,1063.199951171875,1075.0999755859375,143
2016-01-05 00:00:00-05:00,1075.5999755859375,1081.5,1075.300048828125,1078.4000244140625,82
2016-01-06 00:00:00-05:00,1081.5999755859375,1093.699951171875,1081.5999755859375,1091.9000244140625,52
2016-01-07 00:00:00-05:00,1091.5999755859375,1109.4000244140625,1091.5999755859375,1107.699951171875,122
2016-01-08 00:00:00-05:00,1111.0999755859375,1111.0999755859375,1093,1097.800048828125,98
2016-01-11 00:00:00-05:00,1105.699951171875,1107.9000244140625,1096.5,1096.5,43
2016-01-12 00:00:00-05:00,1093.800048828125,1098.5,1084,1085.5999755859375,87
2016-01-13 00:00:00-05:00,1081.5,1093.9000244140625,1081.5,1087.5,50
2016-01-14 00:00:00-05:00,1091.5,1091.5,1073.699951171875,1073.9000244140625,59
2016-01-15 00:00:00-05:00,1085,1095.800048828125,1081.800048828125,1091.5,44
2016-01-19 00:00:00-05:00,1089.800048828125,1094.4000244140625,1084.9000244140625,1089.9000244140625,17
2016-01-20 00:00:00-05:00,1099.800048828125,1109.800048828125,1099.800048828125,1107.0999755859375,30
2016-01-21 00:00:00-05:00,1103.5999755859375,1103.5999755859375,1094.0999755859375,1099.0999755859375,16
2016-01-22 00:00:00-05:00,1098,1103.199951171875,1097.199951171875,1097.199951171875,4
2016-01-25 00:00:00-05:00,1099.300048828125,1109.300048828125,1099.300048828125,1106.199951171875,8
2016-01-26 00:00:00-05:00,1115.0999755859375,1121.699951171875,1114.300048828125,1121.699951171875,181
2016-01-27 00:00:00-05:00,1117.800048828125,1117.800048828125,1115.800048828125,1116.0999755859375,168706
2016-01-28 00:00:00-05:00,1125.4000244140625,1125.699951171875,1109.800048828125,1115.5999755859375,52861
2016-01-29 00:00:00-05:00,1114.4000244140625,1118.5999755859375,1108.800048828125,1116.4000244140625,6955
2016-02-01 00:00:00-05:00,1116.699951171875,1130,1115.300048828125,1127.9000244140625,1682
2016-02-02 00:00:00-05:00,1128.300048828125,1131.4000244140625,1123,1127.300048828125,1230
2016-02-03 00:00:00-05:00,1128.5,1146,1125,1141.300048828125,1630
2016-02-04 00:00:00-05:00,1142.5,1157.5999755859375,1141,1157.5999755859375,771
