Price,Open,High,Low,Close,Volume
Ticker,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E
Date,,,,,
1/5/2015,3126.810059,3150.090087890625,3020.790039,3023.139892578125,77456200
1/7/2015,3019.469970703125,3055.870117,3002.780029296875,3026.790039,67360700
1/8/2015,3051.260009765625,3139.919922,3051.260009765625,3135.080078,74162600
1/9/2015,3128.419922,3128.419922,3021.22998,3042.899902,119801000
1/12/2015,3055.659912109375,3096.909912109375,3033.340087890625,3084.179931640625,70684600
1/13/2015,3069.820068359375,3146.540039,3065.370117,3133.860107421875,68635600
1/14/2015,3108.340087890625,3148.260009765625,3077.239990234375,3089.669922,84003600
1/15/2015,3112.370117,3169.189941,3020.540039,3157.360107421875,96085100
1/16/2015,3147.530029296875,3208.300048828125,3133.899902,3202.239990234375,80516200
1/19/2015,3208.620117,3238.060059,3198.360107421875,3220.899902,56272900
1/20/2015,3229.340087890625,3257.649902,3226.739990234375,3244.919922,76672700
1/21/2015,3253.449951171875,3269.72998,3210.949951171875,3269.72998,77733200
1/22/2015,3270.399902,3332.510009765625,3261.850098,3322.649902,109024000
1/23/2015,3345.449951171875,3412.760009765625,3345.449951171875,3382.550048828125,101375800
1/26/2015,3372.030029296875,3417.459961,3362.629883,3414.280029296875,59821500
1/27/2015,3413.330078,3413.330078,3353.129883,3372.580078,64709700
1/28/2015,3384.209961,3393.929931640625,3333.360107421875,3358.959961,68260300
1/29/2015,3341.179931640625,3373.179931640625,3326.379883,3371.830078,65727500
1/30/2015,3386.590087890625,3392.699951171875,3332.389892578125,3351.439941,72775800
2/2/2015,3356.129883,3370.810059,3327.080078,3370.110107421875,67323700
2/3/2015,3386.550048828125,3426.669922,3386.550048828125,3414.179931640625,81025400
2/4/2015,3416.800048828125,3422.040039,3389.199951171875,3415.530029296875,64536100
2/5/2015,3393.620117,3410.52002,3376.75,3408.959961,57609100
2/6/2015,3404.939941,3408.879883,3383.75,3398.159912109375,46327000
2/9/2015,3371.510009765625,3371.510009765625,3321.590087890625,3347.75,62897100
2/10/2015,3353.840087890625,3401.129883,3335.820068359375,3383.129883,62720100
2/11/2015,3384.280029296875,3389.919922,3361.469970703125,3374.139892578125,56700700
2/12/2015,3371.570068359375,3433.510009765625,3365.25,3417.610107421875,76812900
2/13/2015,3428.899902,3462.27002,3428.899902,3447.590087890625,70464200
2/16/2015,3445.439941,3446.52002,3431.290039,3433.300048828125,37688500
2/17/2015,3420.929931640625,3443.830078,3381.290039,3438.439941,53398500
2/18/2015,3450.120117,3473.580078,3450.120117,3465.800048828125,57871300
2/19/2015,3459.489990234375,3493.669922,3439.179931640625,3488.080078,66515500
2/20/2015,3483.580078,3495.300048828125,3454.810059,3490.530029296875,68863800
2/23/2015,3510.810059,3529.010009765625,3498.27002,3519.580078,49710700
2/24/2015,3523.989990234375,3555.310059,3510.449951171875,3547.100098,55750300
2/25/2015,3544.810059,3549.030029296875,3529.120117,3541.780029296875,49400400
2/26/2015,3542.209961,3576.340087890625,3537.189941,3574.939941,64851700
2/27/2015,3574.330078,3599,3563.149902,3599,68039500
3/2/2015,3594.25,3607.969970703125,3577.510009765625,3591.090087890625,59085300
3/3/2015,3595.360107421875,3604.75,3546.290039,3549.110107421875,52438800
3/4/2015,3555.909912109375,3583.439941,3533.399902,3583.439941,51524800
3/5/2015,3590.100098,3626.060059,3589.199951171875,3618.209961,53143200
3/6/2015,3615,3635.929931640625,3611.100098,3617.620117,49079900
3/9/2015,3604.129883,3614.580078,3585.120117,3610.280029296875,51559700
3/10/2015,3605.810059,3610.830078,3552.429931640625,3567.25,58294600
3/11/2015,3574.97998,3653.939941,3574.97998,3649.540039,60391700
3/12/2015,3646.350098,3653.379883,3635.77002,3641.320068359375,57712100
3/13/2015,3649.459961,3656.209961,3628.139892578125,3656.209961,48593500
3/16/2015,3664.530029296875,3715.360107421875,3664.530029296875,3706.75,63563300
3/17/2015,3708.040039,3714.02002,3654.530029296875,3672.159912109375,54754300
3/18/2015,3673.969970703125,3680.570068359375,3643.129883,3668.52002,65315900
3/19/2015,3666.350098,3690.629883,3646.290039,3670.72998,65167100
