Price,Close
Ticker,HG=F
Date,
1/4/2016,2.070499897003174
1/5/2016,2.0885000228881836
1/6/2016,2.0804998874664307
1/7/2016,2.015500068664551
1/8/2016,2.0164999961853027
1/11/2016,1.9674999713897705
1/12/2016,1.9529999494552612
1/13/2016,1.9505000114440918
1/14/2016,1.9709999561309814
1/15/2016,1.9394999742507935
1/19/2016,1.9735000133514404
1/20/2016,1.9559999704360962
1/21/2016,1.9930000305175781
1/22/2016,1.9984999895095825
1/25/2016,1.9954999685287476
1/26/2016,2.0339999198913574
1/27/2016,2.062999963760376
1/28/2016,2.0490000247955322
1/29/2016,2.063999891281128
2/1/2016,2.051500082015991
2/2/2016,2.052000045776367
2/3/2016,2.0920000076293945
2/4/2016,2.128000020980835
2/5/2016,2.1005001068115234
2/8/2016,2.0885000228881836
2/9/2016,2.0385000705718994
2/10/2016,2.0250000953674316
2/11/2016,2.003999948501587
2/12/2016,2.0269999504089355
2/16/2016,2.0490000247955322
2/17/2016,2.0739998817443848
2/18/2016,2.071500062942505
2/19/2016,2.075500011444092
2/22/2016,2.112999916
2/23/2016,2.1045000553131104
2/24/2016,2.0950000286102295
2/25/2016,2.065000057220459
2/26/2016,2.118000030517578
2/29/2016,2.128499984741211
3/1/2016,2.1414999961853027
3/2/2016,2.177500009536743
3/3/2016,2.2044999599456787
3/4/2016,2.2709999084472656
3/7/2016,2.2804999351501465
3/8/2016,2.2184998989105225
3/9/2016,2.2300000190734863
3/10/2016,2.2174999713897705
3/11/2016,2.2385001182556152
3/14/2016,2.236999988555908
3/15/2016,2.2309999465942383
3/16/2016,2.2314999103546143
3/17/2016,2.2890000343322754
3/18/2016,2.2795000076293945
3/21/2016,2.2894999980926514
3/22/2016,2.2844998836517334
3/23/2016,2.2304999828338623
3/24/2016,2.2244999408721924
3/28/2016,2.241499900817871
3/29/2016,2.2084999084472656
3/30/2016,2.187000036239624
3/31/2016,2.181499958
4/1/2016,2.1610000133514404
4/4/2016,2.138000011444092
4/5/2016,2.134999990463257
4/6/2016,2.140500068664551
4/7/2016,2.074500084
4/8/2016,2.0864999294281006
4/11/2016,2.0885000228881836
4/12/2016,2.1449999809265137
4/13/2016,2.1675000190734863
4/14/2016,2.1710000038146973
4/15/2016,2.1519999504089355
4/18/2016,2.1640000343322754
4/19/2016,2.2230000495910645
4/20/2016,2.242000102996826
4/21/2016,2.252000093460083
4/22/2016,2.2690000534057617
4/25/2016,2.258500099182129
4/26/2016,2.248500108718872
4/27/2016,2.2204999923706055
4/28/2016,2.2244999408721924
4/29/2016,2.2790000438690186
5/2/2016,2.2614998817443848
5/3/2016,2.2144999504089355
5/4/2016,2.183000087738037
