id,region,ticker,date,price_usd
1,opec,opec_basket,01/01/2016,32.0452380952381
2,opec,opec_basket,02/01/2016,33.76238095238095
3,opec,opec_basket,03/01/2016,33.76238095238095
4,opec,opec_basket,04/01/2016,33.76238095238095
5,opec,opec_basket,05/01/2016,33.76238095238095
6,opec,opec_basket,06/01/2016,33.76238095238095
7,opec,opec_basket,07/01/2016,33.76238095238095
8,opec,opec_basket,08/01/2016,33.76238095238095
9,opec,opec_basket,09/01/2016,33.76238095238095
10,opec,opec_basket,10/01/2016,33.76238095238095
11,opec,opec_basket,11/01/2016,33.76238095238095
12,opec,opec_basket,12/01/2016,33.76238095238095
13,opec,opec_basket,13/01/2016,33.76238095238095
14,opec,opec_basket,14/01/2016,33.76238095238095
15,opec,opec_basket,15/01/2016,33.76238095238095
16,opec,opec_basket,16/01/2016,33.76238095238095
17,opec,opec_basket,17/01/2016,33.76238095238095
18,opec,opec_basket,18/01/2016,33.76238095238095
19,opec,opec_basket,19/01/2016,33.76238095238095
20,opec,opec_basket,20/01/2016,33.76238095238095
21,opec,opec_basket,21/01/2016,33.76238095238095
22,opec,opec_basket,22/01/2016,33.76238095238095
23,opec,opec_basket,23/01/2016,33.76238095238095
24,opec,opec_basket,24/01/2016,33.76238095238095
25,opec,opec_basket,25/01/2016,33.76238095238095
26,opec,opec_basket,26/01/2016,33.76238095238095
27,opec,opec_basket,27/01/2016,33.76238095238095
28,opec,opec_basket,28/01/2016,33.76238095238095
29,opec,opec_basket,29/01/2016,33.76238095238095
30,opec,opec_basket,30/01/2016,33.76238095238095
31,opec,opec_basket,31/01/2016,33.76238095238095
32,opec,opec_basket,01/02/2016,33.76238095238095
33,opec,opec_basket,02/02/2016,39.79217391304348
34,opec,opec_basket,03/02/2016,39.79217391304348
35,opec,opec_basket,04/02/2016,39.79217391304348
36,opec,opec_basket,05/02/2016,39.79217391304348
37,opec,opec_basket,06/02/2016,39.79217391304348
38,opec,opec_basket,07/02/2016,39.79217391304348
39,opec,opec_basket,08/02/2016,39.79217391304348
40,opec,opec_basket,09/02/2016,39.79217391304348
41,opec,opec_basket,10/02/2016,39.79217391304348
42,opec,opec_basket,11/02/2016,39.79217391304348
43,opec,opec_basket,12/02/2016,39.79217391304348
44,opec,opec_basket,13/02/2016,39.79217391304348
45,opec,opec_basket,14/02/2016,39.79217391304348
46,opec,opec_basket,15/02/2016,39.79217391304348
47,opec,opec_basket,16/02/2016,39.79217391304348
48,opec,opec_basket,17/02/2016,39.79217391304348
49,opec,opec_basket,18/02/2016,39.79217391304348
50,opec,opec_basket,19/02/2016,39.79217391304348
51,opec,opec_basket,20/02/2016,39.79217391304348
52,opec,opec_basket,21/02/2016,39.79217391304348
53,opec,opec_basket,22/02/2016,39.79217391304348
54,opec,opec_basket,23/02/2016,39.79217391304348
55,opec,opec_basket,24/02/2016,39.79217391304348
56,opec,opec_basket,25/02/2016,39.79217391304348
57,opec,opec_basket,26/02/2016,39.79217391304348
58,opec,opec_basket,27/02/2016,39.79217391304348
59,opec,opec_basket,28/02/2016,39.79217391304348
